"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","segment_id","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"946","BMP2","chr20",6769231,6769463,233,"*",26063894,26063902,"R","chr20:6769231-6769463","8CpGs","232bp",0.316,0.7,0.384,0.3,0.272,0.0406,"U","chr20:6769231-6769463",1545,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"947","BMP2","chr20",7724221,7724688,468,"*",26069837,26069842,"R","chr20:7724221-7724688","5CpGs","467bp",0.875,0,0.875,0.812,0.75,0.0198,"M","chr20:7724221-7724688",956535,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"948","BMP2","chr20",7600074,7601891,1818,"*",26069080,26069089,"R","chr20:7600074-7601891","9CpGs","1817bp",0.312,0.677,0.364,0.297,0.264,0.0379,"U","chr20:7600074-7601891",832388,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"949","BMP2","chr20",6360112,6361791,1680,"*",26061169,26061188,"R","chr20:6360112-6361791","19CpGs","1679bp",0.403,0,0.403,0.398,0.392,0.00072,"M","chr20:6360112-6361791",-405895,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"950","BMP2","chr20",7673946,7674731,786,"*",26069552,26069555,"R","chr20:7673946-7674731","3CpGs","785bp",0.464,0.775,0.311,0.269,0.25,0.0191,"U","chr20:7673946-7674731",906260,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"951","BMP2","chr20",6469079,6469865,787,"*",26061773,26061781,"R","chr20:6469079-6469865","8CpGs","786bp",0.692,0.213,0.479,0.406,0.365,0.0302,"M","chr20:6469079-6469865",-297821,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"952","BMP2","chr20",7682994,7683622,629,"*",26069590,26069595,"R","chr20:7682994-7683622","5CpGs","628bp",0.429,1,0.571,0.556,0.542,0.0026,"U","chr20:7682994-7683622",915308,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"953","BMP2","chr20",6141204,6141841,638,"*",26059746,26059752,"R","chr20:6141204-6141841","6CpGs","637bp",0.464,0.935,0.471,0.451,0.433,0.00572,"U","chr20:6141204-6141841",-625845,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"954","BMP2","chr20",6126901,6128525,1625,"*",26059629,26059639,"R","chr20:6126901-6128525","10CpGs","1624bp",0.77,0.174,0.595,0.582,0.575,0.000633,"M","chr20:6126901-6128525",-639161,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"955","BMP2","chr20",7293112,7293727,616,"*",26067373,26067378,"R","chr20:7293112-7293727","5CpGs","615bp",0.307,0.633,0.327,0.266,0.236,0.0384,"U","chr20:7293112-7293727",525426,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"956","BMP2","chr20",7241919,7243608,1690,"*",26067092,26067097,"R","chr20:7241919-7243608","5CpGs","1689bp",0.175,0.721,0.546,0.506,0.492,0.00485,"U","chr20:7241919-7243608",474233,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"957","BMP2","chr20",6350185,6350282,98,"*",26061090,26061096,"R","chr20:6350185-6350282","6CpGs","97bp",0.22,0.599,0.38,0.312,0.283,0.0312,"U","chr20:6350185-6350282",-417404,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"958","BMP2","chr20",6423262,6424893,1632,"*",26061525,26061537,"R","chr20:6423262-6424893","12CpGs","1631bp",0.333,0.86,0.527,0.48,0.477,0.0086,"U","chr20:6423262-6424893",-342793,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"980","BMP7","chr20",56735517,56735923,407,"*",26606564,26606573,"R","chr20:56735517-56735923","9CpGs","406bp",0.171,0.598,0.427,0.359,0.314,0.0417,"U","chr20:56735517-56735923",530718,"ENSG00000101144",211.899191233311,0.539805977421651,0.138904150341195,9.03044929529332e-06,6.85654989559424e-05,215.428782721607,264.608235443569,183.279481782045,181.854644919668,290.67293951293,163.955503882525,142.968497549882,252.42544405426,"protein_coding","bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]"
"981","BMP7","chr20",57315417,57315954,538,"*",26615580,26615586,"R","chr20:57315417-57315954","6CpGs","537bp",0.654,0.972,0.318,0.28,0.267,0.0126,"U","chr20:57315417-57315954",-48776,"ENSG00000101144",211.899191233311,0.539805977421651,0.138904150341195,9.03044929529332e-06,6.85654989559424e-05,215.428782721607,264.608235443569,183.279481782045,181.854644919668,290.67293951293,163.955503882525,142.968497549882,252.42544405426,"protein_coding","bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]"
"1168","CACNA1D","chr3",53270249,53270606,358,"*",5064445,5064453,"R","chr3:53270249-53270606","8CpGs","357bp",0.941,0.633,0.308,0.247,0.216,0.045,"M","chr3:53270249-53270606",-58357,"ENSG00000157388",56.6010722483506,2.06517751491053,0.272530087377985,1.99375421344945e-15,5.91867332428686e-14,99.9411878605393,78.6981389896823,15.6157406002639,11.0214936314951,91.970734767763,31.7083757508656,22.7234698092528,101.129436576943,"protein_coding","calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]"
"1212","CAMKK2","chr12",121385506,121385823,318,"*",18877714,18877719,"R","chr12:121385506-121385823","5CpGs","317bp",0.809,0.477,0.331,0.26,0.234,0.0407,"M","chr12:121385506-121385823",-87198,"ENSG00000110931",1888.23150025842,-0.215278603090083,0.0653925078716455,0.000653349637794718,0.00320754338887137,1689.00607484311,1761.01342898651,2058.81211598217,1906.71839824864,1700.89087261863,2018.50879779901,2162.51687684722,1808.38543674203,"protein_coding","calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]"
"1245","CAV1","chr7",116453629,116453650,22,"*",12000276,12000280,"R","chr7:116453629-116453650","4CpGs","21bp",0,0.503,0.503,0.432,0.429,0.0211,"U","chr7:116453629-116453650",-71344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1246","CAV1","chr7",116372606,116372638,33,"*",11999729,11999733,"R","chr7:116372606-116372638","4CpGs","32bp",0.461,0.896,0.435,0.385,0.353,0.0212,"U","chr7:116372606-116372638",-152356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1295","CBR1","chr21",36010969,36011857,889,"*",27037410,27037415,"R","chr21:36010969-36011857","5CpGs","888bp",0.45,0.801,0.351,0.296,0.269,0.0274,"U","chr21:36010969-36011857",-58084,"ENSG00000159228",822.503484277269,0.320538952585723,0.115495571507304,0.00204073286496352,0.00870844406848972,808.413164027473,1188.4559540181,733.11792712818,715.019399343242,883.373230238514,689.077141317591,732.831901348402,829.739156796652,"protein_coding","carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]"
"1296","CBR1","chr21",35397041,35397080,40,"*",27032226,27032231,"R","chr21:35397041-35397080","5CpGs","39bp",0.732,0.268,0.465,0.397,0.346,0.0453,"M","chr21:35397041-35397080",-672861,"ENSG00000159228",822.503484277269,0.320538952585723,0.115495571507304,0.00204073286496352,0.00870844406848972,808.413164027473,1188.4559540181,733.11792712818,715.019399343242,883.373230238514,689.077141317591,732.831901348402,829.739156796652,"protein_coding","carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]"
"1297","CBR1","chr21",35077675,35078034,360,"*",27029768,27029773,"R","chr21:35077675-35078034","5CpGs","359bp",0.296,0.76,0.464,0.42,0.4,0.00963,"U","chr21:35077675-35078034",-991907,"ENSG00000159228",822.503484277269,0.320538952585723,0.115495571507304,0.00204073286496352,0.00870844406848972,808.413164027473,1188.4559540181,733.11792712818,715.019399343242,883.373230238514,689.077141317591,732.831901348402,829.739156796652,"protein_coding","carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]"
"1298","CBR1","chr21",35968129,35969192,1064,"*",27036938,27036946,"R","chr21:35968129-35969192","8CpGs","1063bp",0.675,0.258,0.417,0.371,0.333,0.0313,"M","chr21:35968129-35969192",-100749,"ENSG00000159228",822.503484277269,0.320538952585723,0.115495571507304,0.00204073286496352,0.00870844406848972,808.413164027473,1188.4559540181,733.11792712818,715.019399343242,883.373230238514,689.077141317591,732.831901348402,829.739156796652,"protein_coding","carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]"
"1537","CDKN2B","chr9",22435004,22435064,61,"*",13957403,13957408,"R","chr9:22435004-22435064","5CpGs","60bp",0.964,0.639,0.325,0.281,0.262,0.0188,"M","chr9:22435004-22435064",-425699,"ENSG00000147883",7.24836012882191,-1.86493115004577,0.90235452621253,0.000212501908173854,0.00118357509575093,0,5.70276369490451,12.3282162633663,11.0214936314951,1.13544116997238,14.6941253479621,12.3085461466786,0.796294776196403,"protein_coding","cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]"
"1555","CEBPA","chr19",33243923,33244004,82,"*",25515007,25515010,"R","chr19:33243923-33244004","3CpGs","81bp",0.917,0.333,0.583,0.542,0.5,0.0198,"M","chr19:33243923-33244004",58530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1627","CHAC2","chr2",52828225,52829960,1736,"*",2903003,2903011,"R","chr2:52828225-52829960","8CpGs","1735bp",0.311,0.732,0.421,0.364,0.323,0.0361,"U","chr2:52828225-52829960",-937844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1628","CHAC2","chr2",52810784,52812555,1772,"*",2902925,2902939,"R","chr2:52810784-52812555","14CpGs","1771bp",0.907,0.262,0.646,0.596,0.585,0.00517,"M","chr2:52810784-52812555",-955249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1629","CHAC2","chr2",53464101,53464151,51,"*",2906702,2906705,"R","chr2:53464101-53464151","3CpGs","50bp",0.652,0.162,0.489,0.463,0.455,0.00254,"M","chr2:53464101-53464151",-303653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630","CHAC2","chr2",52775006,52775268,263,"*",2902715,2902719,"R","chr2:52775006-52775268","4CpGs","262bp",0.286,0.917,0.63,0.544,0.533,0.0175,"U","chr2:52775006-52775268",-992536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1631","CHAC2","chr2",52928940,52930790,1851,"*",2903541,2903554,"R","chr2:52928940-52930790","13CpGs","1850bp",0.465,0.812,0.348,0.286,0.252,0.0401,"U","chr2:52928940-52930790",-837014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1632","CHAC2","chr2",53044684,53046134,1451,"*",2904261,2904268,"R","chr2:53044684-53046134","7CpGs","1450bp",0.156,0.709,0.553,0.436,0.418,0.0387,"U","chr2:53044684-53046134",-721670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1633","CHAC2","chr2",53246295,53246582,288,"*",2905315,2905323,"R","chr2:53246295-53246582","8CpGs","287bp",0.0787,0.401,0.322,0.284,0.28,0.0131,"U","chr2:53246295-53246582",-521222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1634","CHAC2","chr2",53421228,53422143,916,"*",2906449,2906455,"R","chr2:53421228-53422143","6CpGs","915bp",0.223,0.818,0.595,0.464,0.415,0.043,"U","chr2:53421228-53422143",-345661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1635","CHAC2","chr2",53425745,53426896,1152,"*",2906477,2906487,"R","chr2:53425745-53426896","10CpGs","1151bp",0.259,0.885,0.626,0.498,0.474,0.0354,"U","chr2:53425745-53426896",-340908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1636","CHAC2","chr2",53460342,53461264,923,"*",2906689,2906698,"R","chr2:53460342-53461264","9CpGs","922bp",0.34,0.933,0.594,0.527,0.521,0.0125,"U","chr2:53460342-53461264",-306540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1637","CHAC2","chr2",53472118,53473172,1055,"*",2906753,2906761,"R","chr2:53472118-53473172","8CpGs","1054bp",0.341,0.725,0.384,0.335,0.309,0.0205,"U","chr2:53472118-53473172",-294632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1638","CHAC2","chr2",52807414,52808250,837,"*",2902895,2902899,"R","chr2:52807414-52808250","4CpGs","836bp",0.929,0.45,0.479,0.395,0.357,0.0316,"M","chr2:52807414-52808250",-959554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1639","CHAC2","chr2",52958509,52959003,495,"*",2903689,2903696,"R","chr2:52958509-52959003","7CpGs","494bp",0.612,0.143,0.468,0.426,0.405,0.00976,"M","chr2:52958509-52959003",-808801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1640","CHAC2","chr2",52967249,52967639,391,"*",2903757,2903776,"R","chr2:52967249-52967639","19CpGs","390bp",0.858,0.377,0.482,0.463,0.451,0.00236,"M","chr2:52967249-52967639",-800165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1641","CHAC2","chr2",53185912,53187061,1150,"*",2905017,2905028,"R","chr2:53185912-53187061","11CpGs","1149bp",0.958,0.292,0.667,0.606,0.583,0.00772,"M","chr2:53185912-53187061",-580743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1642","CHAC2","chr2",53213436,53213969,534,"*",2905174,2905179,"R","chr2:53213436-53213969","5CpGs","533bp",0.662,0.25,0.412,0.365,0.351,0.0112,"M","chr2:53213436-53213969",-553835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1643","CHAC2","chr2",53367285,53367766,482,"*",2906161,2906167,"R","chr2:53367285-53367766","6CpGs","481bp",0.623,0.259,0.364,0.317,0.311,0.0154,"M","chr2:53367285-53367766",-400038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1662","CHMP1B","chr18",11716232,11716298,67,"*",24235789,24235795,"R","chr18:11716232-11716298","6CpGs","66bp",0.819,0.381,0.438,0.359,0.321,0.035,"M","chr18:11716232-11716298",-135115,"ENSG00000255112",1255.19603522942,-0.320720211781962,0.0757349513883689,8.82802682488992e-06,6.71854953413118e-05,1018.28965853461,1228.37529988243,1425.96368112936,1380.44207734476,1077.53367030379,1366.55365736048,1439.15308791934,1105.25714936061,"protein_coding","charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]"
"1674","CHRM3","chr1",239213084,239213132,49,"*",2270002,2270006,"R","chr1:239213084-239213132","4CpGs","48bp",0.79,0.333,0.457,0.446,0.436,0.00207,"M","chr1:239213084-239213132",-173433,"ENSG00000133019",771.688244768299,0.761970887700418,0.126991018982808,7.12187326079469e-11,1.25989329351678e-09,1072.70208303645,749.343149510453,605.726359073396,608.937523140102,1079.80455264374,525.121637435067,504.650392013822,1027.22026129336,"protein_coding","cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]"
"1701","CISD1","chr10",57978775,57979624,850,"*",15634525,15634532,"R","chr10:57978775-57979624","7CpGs","849bp",0.955,0.272,0.683,0.602,0.576,0.0123,"M","chr10:57978775-57979624",-289538,"ENSG00000122873",749.123409170356,0.335119979448061,0.102136001332065,0.000356154834513696,0.00186727049638262,832.843232171161,1007.10806852014,638.601602442372,715.019399343242,773.235436751193,644.221390255391,613.533684849825,768.424459029529,"protein_coding","CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:HGNC:30880]"
"1702","CISD1","chr10",57279713,57281701,1989,"*",15630887,15630897,"R","chr10:57279713-57281701","10CpGs","1988bp",0.729,0.324,0.405,0.364,0.344,0.0113,"M","chr10:57279713-57281701",-987461,"ENSG00000122873",749.123409170356,0.335119979448061,0.102136001332065,0.000356154834513696,0.00186727049638262,832.843232171161,1007.10806852014,638.601602442372,715.019399343242,773.235436751193,644.221390255391,613.533684849825,768.424459029529,"protein_coding","CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:HGNC:30880]"
"1703","CISD1","chr10",57960411,57961123,713,"*",15634432,15634438,"R","chr10:57960411-57961123","6CpGs","712bp",0.0417,0.379,0.337,0.296,0.274,0.0188,"U","chr10:57960411-57961123",-308039,"ENSG00000122873",749.123409170356,0.335119979448061,0.102136001332065,0.000356154834513696,0.00186727049638262,832.843232171161,1007.10806852014,638.601602442372,715.019399343242,773.235436751193,644.221390255391,613.533684849825,768.424459029529,"protein_coding","CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:HGNC:30880]"
"2033","CSNK2A3","chr11",11555333,11555448,116,"*",16591505,16591510,"R","chr11:11555333-11555448","5CpGs","115bp",0.298,0.633,0.335,0.286,0.267,0.0202,"U","chr11:11555333-11555448",-202083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2112","CTNNB1","chr3",41069293,41071266,1974,"*",4911462,4911472,"R","chr3:41069293-41071266","10CpGs","1973bp",0.919,0.616,0.303,0.257,0.226,0.0414,"M","chr3:41069293-41071266",-123475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2142","CXCL2","chr4",74076091,74076148,58,"*",6899853,6899858,"R","chr4:74076091-74076148","5CpGs","57bp",0.776,0.392,0.384,0.334,0.327,0.0156,"M","chr4:74076091-74076148",23048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2143","CXCL3","chr4",74076091,74076148,58,"*",6899853,6899858,"R","chr4:74076091-74076148","5CpGs","57bp",0.776,0.392,0.384,0.334,0.327,0.0156,"M","chr4:74076091-74076148",-37284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2173","CYCS","chr7",25056652,25056718,67,"*",11117644,11117647,"R","chr7:25056652-25056718","3CpGs","66bp",0.955,0.596,0.359,0.297,0.273,0.0276,"M","chr7:25056652-25056718",68542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2186","CYLD","chr16",50854960,50854992,33,"*",22362386,22362389,"R","chr16:50854960-50854992","3CpGs","32bp",0.105,0.787,0.682,0.546,0.489,0.038,"U","chr16:50854960-50854992",112910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2187","CYLD","chr16",50880113,50880128,16,"*",22362609,22362613,"R","chr16:50880113-50880128","4CpGs","15bp",0.5,0.146,0.354,0.334,0.333,0.00344,"M","chr16:50880113-50880128",138063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2188","CYLD","chr16",51149986,51150233,248,"*",22365400,22365417,"R","chr16:51149986-51150233","17CpGs","247bp",0.453,0,0.453,0.447,0.44,0.000864,"M","chr16:51149986-51150233",407936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2194","CYP2E1","chr10",133458981,133459062,82,"*",16420587,16420592,"R","chr10:133458981-133459062","5CpGs","81bp",0.0956,0.4,0.304,0.297,0.289,0.0026,"U","chr10:133458981-133459062",-61344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2195","CYP2E1","chr10",133467760,133467962,203,"*",16420848,16420859,"R","chr10:133467760-133467962","11CpGs","202bp",0.605,0.0667,0.538,0.45,0.422,0.0229,"M","chr10:133467760-133467962",-52444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2217","DAD1","chr14",22083241,22083287,47,"*",19991042,19991047,"R","chr14:22083241-22083287","5CpGs","46bp",0.132,0.665,0.532,0.475,0.462,0.0101,"U","chr14:22083241-22083287",505937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2218","DAD1","chr14",22466924,22466986,63,"*",19993623,19993626,"R","chr14:22466924-22466986","3CpGs","62bp",0.2,0.806,0.606,0.579,0.578,0.0021,"U","chr14:22466924-22466986",122238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2219","DAD1","chr14",22469683,22471449,1767,"*",19993659,19993673,"R","chr14:22469683-22471449","14CpGs","1766bp",0.197,0.747,0.55,0.496,0.472,0.00997,"U","chr14:22469683-22471449",117775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2220","DAD1","chr14",22471670,22471726,57,"*",19993673,19993677,"R","chr14:22471670-22471726","4CpGs","56bp",0.0833,0.531,0.448,0.377,0.333,0.0373,"U","chr14:22471670-22471726",117498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2221","DAD1","chr14",22536919,22537142,224,"*",19994251,19994256,"R","chr14:22536919-22537142","5CpGs","223bp",0.0955,0.653,0.558,0.529,0.525,0.00265,"U","chr14:22536919-22537142",52082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2222","DAD1","chr14",22540473,22540966,494,"*",19994281,19994284,"R","chr14:22540473-22540966","3CpGs","493bp",0.338,0.929,0.591,0.507,0.489,0.0168,"U","chr14:22540473-22540966",48258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2353","DKK1","chr10",52383162,52383513,352,"*",15603150,15603153,"R","chr10:52383162-52383513","3CpGs","351bp",0.1,0.55,0.45,0.402,0.4,0.0121,"U","chr10:52383162-52383513",68881,"ENSG00000107984",6357.62772028829,2.74061247989363,0.216742708193204,5.22751183305807e-38,7.19266905918916e-36,10648.178337719,12145.7461174076,2225.65397607972,1581.58433611954,11129.5943480693,1492.61378534562,1090.72655084413,10546.9243107214,"protein_coding","dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]"
"2354","DKK2","chr4",106593338,106595326,1989,"*",7120482,7120489,"R","chr4:106593338-106595326","7CpGs","1988bp",0.621,0.95,0.329,0.27,0.257,0.0263,"U","chr4:106593338-106595326",688480,"ENSG00000155011",293.169761783818,3.49669364335035,0.183259504321078,5.96509051523455e-83,5.54007781602409e-80,485.269989945063,556.58973662268,46.8472218007918,53.7297814535384,694.889996023099,47.1758761171415,38.8192609241402,422.036231384094,"protein_coding","dickkopf WNT signaling pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:2892]"
"2355","DKK2","chr4",106476018,106477249,1232,"*",7119697,7119700,"R","chr4:106476018-106477249","3CpGs","1231bp",0.764,0.31,0.454,0.413,0.394,0.00904,"M","chr4:106476018-106477249",806557,"ENSG00000155011",293.169761783818,3.49669364335035,0.183259504321078,5.96509051523455e-83,5.54007781602409e-80,485.269989945063,556.58973662268,46.8472218007918,53.7297814535384,694.889996023099,47.1758761171415,38.8192609241402,422.036231384094,"protein_coding","dickkopf WNT signaling pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:2892]"
"2420","DNAJB6","chr7",158202065,158202561,497,"*",12423785,12423792,"R","chr7:158202065-158202561","7CpGs","496bp",0.45,0.829,0.379,0.346,0.338,0.00662,"U","chr7:158202065-158202561",866684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2421","DNAJB6","chr7",157663533,157663686,154,"*",12410569,12410573,"R","chr7:157663533-157663686","4CpGs","153bp",0.649,0.277,0.372,0.321,0.303,0.0167,"M","chr7:157663533-157663686",328152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
