"","annotated_genes","seqnames","start","end","width","strand","segment_id","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","gene_symbol","avg_depth","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"938","DBH","chr9",133685445,133687374,1930,"*","chr9:133685445-133687374",-0.0001573329003361,0.0001573329003361,1.09159953549503e-07,5.28662339790923,0.525,0.05,0.475,"M",-4.27346502951308e-05,"",2.48,49082,"ENSG00000123454",71.5070859823236,4.35896829827135,3.05033108458857,0.00113555952659296,0.00492698191339066,0,260.621837145188,0,0,0,0,0,0,336.966776529509,0,0,277.466832002267,0,0,269.057930040214,0,"protein_coding","dopamine beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:2689]"
"939","DBH","chr9",133687405,133689383,1979,"*","chr9:133687405-133689383",-8.42262539386262e-05,8.42262539386262e-05,3.04469286010553e-08,2.48341446593489,0.58,0,0.58,"M",-4.27346502951297e-05,"",3.345,51042,"ENSG00000123454",71.5070859823236,4.35896829827135,3.05033108458857,0.00113555952659296,0.00492698191339066,0,260.621837145188,0,0,0,0,0,0,336.966776529509,0,0,277.466832002267,0,0,269.057930040214,0,"protein_coding","dopamine beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:2689]"
"940","DBN1","chr5",177478752,177478914,163,"*","chr5:177478752-177478914",-9.39001280705468e-05,9.39001280705468e-05,3.84039591301675e-08,2.85435051224112,0.59,0.17,0.42,"M",-4.27346502951308e-05,"",3.2475,-4351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"941","DBX1","chr11",19827178,19828037,860,"*","chr11:19827178-19828037",-8.92857932699695e-05,8.92857932699695e-05,3.63544162835352e-08,2.6774179737443,0.36,0.85,-0.49,"U",4.27346502951237e-05,"",2.9375,332438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"942","DBX1","chr11",20151924,20152232,309,"*","chr11:20151924-20152232",-7.43390559284566e-05,7.43390559284566e-05,2.45998587610676e-08,2.10429870642366,0.65,1,-0.35,"U",4.27346502951624e-05,"",3.515,8243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"943","DCAF12","chr9",34168837,34168941,105,"*","chr9:34168837-34168941",-7.60831634135337e-05,7.60831634135337e-05,2.43314281635485e-08,2.1711749471133,0.485,1,-0.515,"U",4.27346502951429e-05,"",2.3225,-41438,"ENSG00000198876",3150.80093997942,-1.13047324937781,0.146654394479609,1.28948392911995e-15,4.52294350845706e-14,1837.91719063733,1575.1387127125,3857.70772132548,4971.15923398755,4186.51699485128,4053.00921241978,2638.59414080658,3266.94979323634,1714.37617538438,4749.40605715364,5075.96336456309,1884.5547229594,2174.32269305641,2218.72851668811,1511.25744943783,4697.2130604511,"protein_coding","DDB1 and CUL4 associated factor 12 [Source:HGNC Symbol;Acc:HGNC:19911]"
"944","DCAF12L1","chrX",126433338,126435251,1914,"*","chrX:126433338-126435251",-9.39452731477524e-05,9.39452731477524e-05,4.03829285756142e-08,2.85608155982561,0.24,0.6,-0.36,"U",4.27346502951359e-05,"",2.125,117563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","DCAF12L2","chrX",126433338,126435251,1914,"*","chrX:126433338-126435251",-9.39452731477524e-05,9.39452731477524e-05,4.03829285756142e-08,2.85608155982561,0.24,0.6,-0.36,"U",4.27346502951359e-05,"",2.125,-267049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"946","DCAF17","chr2",171324299,171324684,386,"*","chr2:171324299-171324684",8.57235012024158e-05,8.57235012024158e-05,3.14314935398392e-08,2.54082507235784,1,0.44,0.56,"M",-1.67296221985204e-05,"",2.28,-109533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"947","DCAF4L2","chr8",88028160,88029414,1255,"*","chr8:88028160-88029414",-0.0001505938245612,0.0001505938245612,1.00113171013866e-07,5.02821956821272,0.58,1,-0.42,"U",4.27346502951215e-05,"",1.915,-154145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"948","DCAF4L2","chr8",87906340,87908307,1968,"*","chr8:87906340-87908307",-8.5976692536102e-05,8.5976692536102e-05,3.18310608700064e-08,2.55053346746366,0.23,0.5,-0.27,"U",4.27346502951166e-05,"",1.8675,-32325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949","DCC","chr18",51940302,51940554,253,"*","chr18:51940302-51940554",7.42848191584883e-05,7.42848191584883e-05,2.36952696153463e-08,2.10221904601645,0,0.455,-0.455,"U",1.67296221985043e-05,"",3.0375,-399643,"ENSG00000187323",663.945270750791,-3.94822968557389,1.07159288186784,1.12854842959336e-05,8.57577541135117e-05,15.3864980379852,98.2816355564346,2637.08901531518,13.1011517147549,2264.75914631595,3040.65121849674,18.6101396009051,2174.37252465125,95.0892547466833,20.0235951014307,11.5325360441226,103.217661504843,22.259976382296,16.2603775499312,90.6608242526807,1.82877674146432,"protein_coding","DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]"
"950","DCC","chr18",53305634,53305666,33,"*","chr18:53305634-53305666",-8.8082484529109e-05,8.8082484529109e-05,3.35287741390136e-08,2.63127817693346,0.5,1,-0.5,"U",4.27346502951645e-05,"",3.43,965437,"ENSG00000187323",663.945270750791,-3.94822968557389,1.07159288186784,1.12854842959336e-05,8.57577541135117e-05,15.3864980379852,98.2816355564346,2637.08901531518,13.1011517147549,2264.75914631595,3040.65121849674,18.6101396009051,2174.37252465125,95.0892547466833,20.0235951014307,11.5325360441226,103.217661504843,22.259976382296,16.2603775499312,90.6608242526807,1.82877674146432,"protein_coding","DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]"
"951","DCC","chr18",52172965,52173370,406,"*","chr18:52172965-52173370",-9.50679312687764e-05,9.50679312687764e-05,3.94152966084674e-08,2.89912888079418,0.47,1,-0.53,"U",4.27346502951597e-05,"",2.405,-166827,"ENSG00000187323",663.945270750791,-3.94822968557389,1.07159288186784,1.12854842959336e-05,8.57577541135117e-05,15.3864980379852,98.2816355564346,2637.08901531518,13.1011517147549,2264.75914631595,3040.65121849674,18.6101396009051,2174.37252465125,95.0892547466833,20.0235951014307,11.5325360441226,103.217661504843,22.259976382296,16.2603775499312,90.6608242526807,1.82877674146432,"protein_coding","DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]"
"952","DCD","chr12",54733133,54734823,1691,"*","chr12:54733133-54734823",8.57235012022786e-05,8.57235012022786e-05,3.14314935397419e-08,2.54082507235259,0,0.56,-0.56,"U",1.67296221985043e-05,"",1.9425,-84640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"953","DCDC2","chr6",24346668,24346679,12,"*","chr6:24346668-24346679",-0.000111590701441,0.000111590701441,5.72096599337455e-08,3.53267971659723,0.415,1,-0.585,"U",4.27346502951165e-05,"",2.9775,11380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"954","DCDC2","chr6",24383987,24384032,46,"*","chr6:24383987-24384032",-7.19327270322545e-05,7.19327270322545e-05,2.28737106625679e-08,2.01203017835543,0.61,1,-0.39,"U",4.27346502951297e-05,"",5.11,-25928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"955","DCK","chr4",71006050,71006637,588,"*","chr4:71006050-71006637",-9.89698239136846e-05,9.89698239136846e-05,4.28737167091899e-08,3.04874346240609,0.41,0,0.41,"M",-4.2734650295138e-05,"",2.7,12487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956","DCLK1","chr13",36141043,36142643,1601,"*","chr13:36141043-36142643",8.50690346373391e-05,8.50690346373391e-05,3.09606141797381e-08,2.51573013761106,0,0.51,-0.51,"U",1.6729622198502e-05,"",3.0525,-9661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"957","DCLK1","chr13",35768203,35768877,675,"*","chr13:35768203-35768877",8.57235012022786e-05,8.57235012022786e-05,3.14314935397419e-08,2.54082507235259,0,0.56,-0.56,"U",1.67296221985043e-05,"",1.205,362505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"958","DCLK1","chr13",36147318,36148364,1047,"*","chr13:36147318-36148364",7.72229775417346e-05,7.72229775417346e-05,2.55824348318863e-08,2.21488009982391,0,0.47,-0.47,"U",1.6729622198502e-05,"",1.675,-15936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"959","DCLK2","chr4",150301468,150301999,532,"*","chr4:150301468-150301999",-8.80824845289131e-05,8.80824845289131e-05,3.35287741388702e-08,2.63127817692594,0.68,0.38,0.3,"M",-4.27346502951153e-05,"",2.955,223023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"960","DCN","chr12",91918650,91919021,372,"*","chr12:91918650-91919021",-0.0001371134037906,0.0001371134037906,8.59488395566014e-08,4.51132489757799,0.43,1,-0.57,"U",4.27346502951481e-05,"",2.735,-735433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"961","DCP2","chr5",113198821,113199167,347,"*","chr5:113198821-113199167",-0.0001390202309477,0.0001390202309477,8.54246685317936e-08,4.58444047846935,0.535,1,-0.465,"U",4.27346502951285e-05,"",3.43,222119,"ENSG00000172795",3121.86581148801,0.726828946543363,0.208608474791475,0.000155075597328644,0.000879220250417202,4505.16662552206,3466.18268257068,1648.89171404453,3189.40260078088,1882.1503083759,1787.42595157907,4858.05557234061,1322.59353565564,2864.67919882484,2619.27694017286,2831.23759883209,3377.32627913159,4447.22528152013,4735.02194253996,3466.31425630612,2948.90249561121,"protein_coding","decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]"
"962","DCP2","chr5",113318943,113319290,348,"*","chr5:113318943-113319290",-0.0001206607865816,0.0001206607865816,6.43240127311835e-08,3.88046401436899,0.585,1,-0.415,"U",4.27346502951297e-05,"",3.0075,342241,"ENSG00000172795",3121.86581148801,0.726828946543363,0.208608474791475,0.000155075597328644,0.000879220250417202,4505.16662552206,3466.18268257068,1648.89171404453,3189.40260078088,1882.1503083759,1787.42595157907,4858.05557234061,1322.59353565564,2864.67919882484,2619.27694017286,2831.23759883209,3377.32627913159,4447.22528152013,4735.02194253996,3466.31425630612,2948.90249561121,"protein_coding","decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]"
"963","DCP2","chr5",113189488,113190408,921,"*","chr5:113189488-113190408",-7.58191824758652e-05,7.58191824758652e-05,2.41420944264561e-08,2.16105283429855,0.665,1,-0.335,"U",4.27346502951153e-05,"",2.4425,212786,"ENSG00000172795",3121.86581148801,0.726828946543363,0.208608474791475,0.000155075597328644,0.000879220250417202,4505.16662552206,3466.18268257068,1648.89171404453,3189.40260078088,1882.1503083759,1787.42595157907,4858.05557234061,1322.59353565564,2864.67919882484,2619.27694017286,2831.23759883209,3377.32627913159,4447.22528152013,4735.02194253996,3466.31425630612,2948.90249561121,"protein_coding","decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]"
"964","DCSTAMP","chr8",103552221,103554161,1941,"*","chr8:103552221-103554161",8.31061759621771e-05,8.31061759621771e-05,2.9568926911951e-08,2.44046607830105,0,0.5,-0.5,"U",1.67296221985043e-05,"",3.5875,-784926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"965","DCSTAMP","chr8",104128611,104128652,42,"*","chr8:104128611-104128652",-0.0001136893678163,0.0001136893678163,5.7018847146723e-08,3.61315120063261,0.665,1,-0.335,"U",4.27346502951166e-05,"",5.0325,-210435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"966","DCSTAMP","chr8",104197456,104198256,801,"*","chr8:104197456-104198256",-7.27934166041701e-05,7.27934166041701e-05,2.20119660160523e-08,2.04503254974766,0.35,1,-0.65,"U",4.27346502951153e-05,"",3.69,-140831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967","DCSTAMP","chr8",104221595,104222879,1285,"*","chr8:104221595-104222879",-7.27934166041701e-05,7.27934166041701e-05,2.20119660160523e-08,2.04503254974766,0.35,1,-0.65,"U",4.27346502951153e-05,"",4.0925,-116208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"968","DCT","chr13",94361418,94362217,800,"*","chr13:94361418-94362217",-8.8082484529109e-05,8.8082484529109e-05,3.35287741390136e-08,2.63127817693346,0.5,1,-0.5,"U",4.27346502951645e-05,"",1.8325,117465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"969","DCTN1","chr2",74374671,74374800,130,"*","chr2:74374671-74374800",-0.0001030056502348,0.0001030056502348,4.87123996530164e-08,3.20349361097593,0.425,0.78,-0.355,"U",4.27346502951613e-05,"DCTN1",5.1475,17287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"970","DDI1","chr11",103929066,103929096,31,"*","chr11:103929066-103929096",-0.0001223241908817,0.0001223241908817,6.61245744312609e-08,3.94424576365398,0.645,1,-0.355,"U",4.27346502951166e-05,"",4.3025,-107544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"971","DDI1","chr11",103387070,103388817,1748,"*","chr11:103387070-103388817",-7.72493561631832e-05,7.72493561631832e-05,2.51745552676066e-08,2.21589156445677,0.215,0.6,-0.385,"U",4.27346502951153e-05,"",3.175,-647823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"972","DDIT4L","chr4",100547722,100549001,1280,"*","chr4:100547722-100549001",-7.45102952943777e-05,7.45102952943777e-05,2.32116050407621e-08,2.11086472666545,0.485,0,0.485,"M",-4.27346502951297e-05,"",1.0725,-356940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"973","DDX18","chr2",117261112,117263110,1999,"*","chr2:117261112-117263110",7.67331126295989e-05,7.67331126295989e-05,2.5262995829839e-08,2.19609666815488,0,0.51,-0.51,"U",1.67296221985043e-05,"",2.57,-551581,"ENSG00000088205",5209.56478567968,-0.644406875540939,0.112122347112372,3.66483166044663e-09,5.50720419110585e-08,3338.10074934088,4206.80500765667,5834.91498612111,7855.59613651942,6367.30815602925,6211.27537143119,4408.98481240572,5053.16986720605,4794.16019319929,6432.34155020246,6957.41424490423,3630.37602991766,3517.07626840276,3987.04457524312,4360.49319228216,6397.97543001291,"protein_coding","DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]"
"974","DDX18","chr2",117124570,117126328,1759,"*","chr2:117124570-117126328",8.21250636283027e-05,8.21250636283027e-05,2.88848684169041e-08,2.40284620386948,0,0.45,-0.45,"U",1.67296221985043e-05,"",1.5625,-688363,"ENSG00000088205",5209.56478567968,-0.644406875540939,0.112122347112372,3.66483166044663e-09,5.50720419110585e-08,3338.10074934088,4206.80500765667,5834.91498612111,7855.59613651942,6367.30815602925,6211.27537143119,4408.98481240572,5053.16986720605,4794.16019319929,6432.34155020246,6957.41424490423,3630.37602991766,3517.07626840276,3987.04457524312,4360.49319228216,6397.97543001291,"protein_coding","DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]"
"975","DDX18","chr2",116828858,116828903,46,"*","chr2:116828858-116828903",8.57235012022786e-05,8.57235012022786e-05,3.14314935397419e-08,2.54082507235259,0,0.56,-0.56,"U",1.67296221985043e-05,"",1.71,-985788,"ENSG00000088205",5209.56478567968,-0.644406875540939,0.112122347112372,3.66483166044663e-09,5.50720419110585e-08,3338.10074934088,4206.80500765667,5834.91498612111,7855.59613651942,6367.30815602925,6211.27537143119,4408.98481240572,5053.16986720605,4794.16019319929,6432.34155020246,6957.41424490423,3630.37602991766,3517.07626840276,3987.04457524312,4360.49319228216,6397.97543001291,"protein_coding","DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]"
"976","DDX31","chr9",132846818,132846843,26,"*","chr9:132846818-132846843",-8.0046373818204e-05,8.0046373818204e-05,2.88781965888947e-08,2.32314070334919,0.55,1,-0.45,"U",4.27346502951165e-05,"",3.45,-176417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"977","DDX31","chr9",132872968,132873065,98,"*","chr9:132872968-132873065",-8.9447946777766e-05,8.9447946777766e-05,3.46486444370808e-08,2.68363560488737,0.51,0.08,0.43,"M",-4.27346502951308e-05,"",9.18,-202567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"978","DDX3X","chrX",41254130,41254139,10,"*","chrX:41254130-41254139",-0.0001614223109642,0.0001614223109642,1.18162559453486e-07,5.44342818877606,0.44,1,-0.56,"U",4.27346502951359e-05,"",3.5,-79209,"ENSG00000215301",13905.947536088,-0.49052307336066,0.2014548785813,0.00819856334692385,0.0258362089387777,9520.39566100332,11588.4578496275,11550.3686208551,24323.0160002044,13737.4792288951,12161.4124617444,12056.9430518733,8870.00229890792,12741.0369394075,19775.6839239844,20839.2926317295,11824.5265126086,10565.5387900255,11370.0690017894,10631.4439149857,20939.4936897664,"protein_coding","DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]"
"979","DDX53","chrX",22987026,22988250,1225,"*","chrX:22987026-22988250",7.67331126295984e-05,7.67331126295984e-05,2.52629958298393e-08,2.19609666815486,0,0.425,-0.425,"U",1.67296221985066e-05,"",1.465,-11710,"ENSG00000184735",27.4081392689996,5.61065079810407,0.67610726689656,1.23659899686543e-17,5.50180781878602e-16,27.6956964683733,88.6289749214276,4.06331127167208,0,0.79215080318851,1.19241224254774,40.4568252193588,1.79700208648864,52.6222089374849,0,0,81.0203149446619,28.6199696343805,26.8296229573864,84.8117388170238,0,"protein_coding","DEAD-box helicase 53 [Source:HGNC Symbol;Acc:HGNC:20083]"
"980","DDX60","chr4",168189894,168191055,1162,"*","chr4:168189894-168191055",8.57235012022786e-05,8.57235012022786e-05,3.14314935397419e-08,2.54082507235259,0,0.56,-0.56,"U",1.67296221985043e-05,"",3.4,127828,"ENSG00000137628",257.848909394121,3.19781492580891,1.39717081562592,0.000557551200728673,0.00267807074738779,1.53864980379852,636.198087307277,43.8837617340585,5.82273409544662,44.3604449785566,50.0813141870052,0.809136504387176,26.9550312973296,64.6237653618236,22.8841086873494,21.4175669390848,266.368158722176,2.38499746953171,0,2931.85407462298,6.40071859512511,"protein_coding","DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]"
"981","DEF8","chr16",89933478,89933531,54,"*","chr16:89933478-89933531",-9.8849564298967e-05,9.8849564298967e-05,4.27653020619866e-08,3.04413221510171,0.385,0.03,0.355,"M",-4.27346502951285e-05,"",30.5575,-15166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"982","DEFB109B","chr8",7092768,7092805,38,"*","chr8:7092768-7092805",-0.0001036691383625,0.0001036691383625,4.72009547101584e-08,3.22893446946536,0.34,0,0.34,"M",-4.27346502951176e-05,"",3.2575,-219917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"983","DEFB115","chr20",30488081,30488171,91,"*","chr20:30488081-30488171",-0.0001689758878532,0.0001689758878532,1.2564646642064e-07,5.73306333478356,0.42,0,0.42,"M",-4.2734650295144e-05,"",5.04,-769493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"984","DEFB130B","chr8",11866307,11866932,626,"*","chr8:11866307-11866932",-0.0001754102221879,0.0001754102221879,1.35222980512171e-07,5.97978212667495,0.42,0.94,-0.52,"U",4.27346502951381e-05,"CTSB",21.1225,204815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"985","DEFB130B","chr8",11513805,11513828,24,"*","chr8:11513805-11513828",-9.39452731477514e-05,9.39452731477514e-05,4.0382928575615e-08,2.85608155982558,0.64,1,-0.36,"U",4.2734650295143e-05,"",1.9775,557919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"986","DEFB131A","chr4",9496235,9496694,460,"*","chr4:9496235-9496694",-0.000171387947286,0.000171387947286,1.29197620744417e-07,5.82555159515134,0.51,0,0.51,"M",-4.27346502951237e-05,"",3.3775,51821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"987","DEFB131A","chr4",9399227,9401202,1976,"*","chr4:9399227-9401202",8.64435147377744e-05,8.64435147377744e-05,3.19534937749496e-08,2.56843334702121,0,0.47,-0.47,"U",1.67296221985043e-05,"",3.4975,-43212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"988","DENND2C","chr1",114694242,114695048,807,"*","chr1:114694242-114695048",-0.0001045925647477,0.0001045925647477,4.80720765395708e-08,3.26434242782102,0.485,0,0.485,"M",-4.27346502951237e-05,"AMPD1",9.03,-23820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"989","DENND3","chr8",141119331,141120115,785,"*","chr8:141119331-141120115",-0.000106811267955,0.000106811267955,5.01930445846415e-08,3.34941661675522,0.29,0,0.29,"M",-4.2734650295144e-05,"",3.55,2053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"990","DENND4A","chr15",66177873,66178081,209,"*","chr15:66177873-66178081",-8.49665491536429e-05,8.49665491536429e-05,3.27747281010125e-08,2.51180042345439,0.39,1,-0.61,"U",4.27346502951105e-05,"",3.1325,-385580,"ENSG00000174485",2989.85956494512,1.54780867740248,0.249005237631503,2.6394321574394e-11,5.45760946889088e-10,2964.97817191974,6204.02824449993,1096.28138109713,2166.05708350614,1264.27268188886,1113.71303453959,3978.52419207175,751.146872152251,5182.82598201825,1648.60933001779,1860.03331340205,6151.99459915426,3396.23639661316,3721.18740230175,4526.46099151892,1811.40336242041,"protein_coding","DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]"
"991","DENND4A","chr15",66138547,66138563,17,"*","chr15:66138547-66138563",-0.0001483140563876,0.0001483140563876,1.00204831559999e-07,4.9408038977935,0.435,1,-0.565,"U",4.27346502951297e-05,"",3.1725,-346254,"ENSG00000174485",2989.85956494512,1.54780867740248,0.249005237631503,2.6394321574394e-11,5.45760946889088e-10,2964.97817191974,6204.02824449993,1096.28138109713,2166.05708350614,1264.27268188886,1113.71303453959,3978.52419207175,751.146872152251,5182.82598201825,1648.60933001779,1860.03331340205,6151.99459915426,3396.23639661316,3721.18740230175,4526.46099151892,1811.40336242041,"protein_coding","DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]"
"992","DEPDC1","chr1",68491836,68493513,1678,"*","chr1:68491836-68493513",-0.0001369333323652,0.0001369333323652,8.28902191327534e-08,4.50442021991886,0.44,0.97,-0.53,"U",4.27346502951381e-05,"",2.845,3708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"993","DEPDC1","chr1",69331893,69332660,768,"*","chr1:69331893-69332660",8.60507671958558e-05,8.60507671958558e-05,3.16682426189785e-08,2.55337379400149,0,0.515,-0.515,"U",1.67296221985043e-05,"",2.1125,-834672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"994","DEPDC1","chr1",69196193,69197787,1595,"*","chr1:69196193-69197787",8.57235012022786e-05,8.57235012022786e-05,3.14314935397419e-08,2.54082507235259,0,0.56,-0.56,"U",1.67296221985043e-05,"",1.8725,-698972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"995","DEPTOR","chr8",120042488,120044415,1928,"*","chr8:120042488-120044415",-8.57110646490275e-05,8.57110646490275e-05,3.33811543526496e-08,2.54034820384781,0.665,1,-0.335,"U",4.27346502951359e-05,"",0.8675,168771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"996","DEUP1","chr11",93331665,93331679,15,"*","chr11:93331665-93331679",-8.8082484528997e-05,8.8082484528997e-05,3.35287741389309e-08,2.63127817692916,0.525,1,-0.475,"U",4.27346502951308e-05,"",6.785,1694,"ENSG00000165325",2.74656269928979,-4.27305268968271,1.35644416275449,5.54087865770304e-05,0.000355095258361976,0,0,7.31396028900975,0,3.16860321275404,16.6937713956684,0,10.7820125189318,0,0.953504528639558,4.11876287290092,0,0,0,0,0.914388370732158,"protein_coding","deuterosome assembly protein 1 [Source:HGNC Symbol;Acc:HGNC:26344]"
