"","annotated_genes","seqnames","start","end","width","strand","segment_id","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","gene_symbol","avg_depth","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"68","CMSS1","chr3",99657592,99659522,1931,"*","chr3:99657592-99659522",-0.000238588694006287,0.000238588694006287,2.49694598958293e-07,3.50074762878678,0.57,0.07,0.5,"M",-5.983792181587e-05,"",4.5625,-158315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","COL8A1","chr3",99582141,99583947,1807,"*","chr3:99582141-99583947",-0.000232047232132855,0.000232047232132855,2.36386434946074e-07,3.38991896342059,0.57,0,0.57,"M",-5.98379218158588e-05,"",2.3,-54528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","COL8A1","chr3",99657592,99659522,1931,"*","chr3:99657592-99659522",-0.000238588694006287,0.000238588694006287,2.49694598958293e-07,3.50074762878678,0.57,0.07,0.5,"M",-5.983792181587e-05,"",4.5625,19117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","COL8A1","chr3",99287468,99289424,1957,"*","chr3:99287468-99289424",-0.000224694917658318,0.000224694917658318,2.21837484996696e-07,3.26535243435849,0.585,0.03,0.555,"M",-5.98379218158814e-05,"",3.405,-349051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CRBN","chr3",3421678,3423488,1811,"*","chr3:3421678-3423488",-0.000292874869021422,0.000292874869021422,3.73350394245854e-07,4.4204907139217,0.545,0,0.545,"M",-5.983792181587e-05,"",4.805,-241951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CRBN","chr3",3462807,3464447,1641,"*","chr3:3462807-3464447",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",2.72,-283080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CSNKA2IP","chr3",88914265,88916231,1967,"*","chr3:88914265-88916231",-0.000330584860866167,0.000330584860866167,4.73129156041074e-07,5.05939194853675,0.55,0,0.55,"M",-5.983792181587e-05,"",3.2725,575849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","CSNKA2IP","chr3",88478854,88480586,1733,"*","chr3:88478854-88480586",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",3.09,140438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","CSNKA2IP","chr3",88483258,88484081,824,"*","chr3:88483258-88484081",-0.000159001393138502,0.000159001393138502,1.11052325212479e-07,2.15234042166102,0.6,0,0.6,"M",-5.983792181587e-05,"",2.8475,144842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","CTBS","chr1",84613481,84615212,1732,"*","chr1:84613481-84615212",-0.000165759207840663,0.000165759207840663,1.20853666207045e-07,2.26683464309407,0.61,0.92,-0.31,"U",5.98379218158476e-05,"",3.0375,-39001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","CTNND2","chr5",10939380,10939387,8,"*","chr5:10939380-10939387",0.000178281417905991,0.000178281417905991,1.4405000024521e-07,2.47899208677068,0.86,0.5,0.36,"M",-6.86826474003346e-05,"",3.5725,965059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","CTPS2","chrX",16703484,16704496,1013,"*","chrX:16703484-16704496",0.000154135832266406,0.000154135832266406,1.07097985854089e-07,2.069905695579,0.71,0.36,0.35,"M",-6.86826474002875e-05,"",4.3475,8440,"ENSG00000047230",1237.84862633743,0.34243677616704,0.0656429549605392,6.20099608472282e-08,7.16697347480965e-07,1350.31649376018,1390.33378881772,1070.91105274442,1092.50555622195,1348.90410992719,1086.59190073088,1091.67336208619,1471.55274641095,"protein_coding","CTP synthase 2 [Source:HGNC Symbol;Acc:HGNC:2520]"
"80","CX3CR1","chr3",39303401,39304384,984,"*","chr3:39303401-39304384",-0.000159001393138556,0.000159001393138556,1.11052325212557e-07,2.15234042166193,0.68,0.2,0.48,"M",-5.98379218158992e-05,"",2.0825,-21666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","CXorf49B","chrX",71877472,71877527,56,"*","chrX:71877472-71877527",0.000176871386547518,0.000176871386547518,1.3952930340853e-07,2.45510264177999,0,0.525,-0.525,"U",6.86826474002642e-05,"",2.7175,114123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","CYLC1","chrX",84076839,84078233,1395,"*","chrX:84076839-84078233",-0.000152261898576353,0.000152261898576353,1.01642051869988e-07,2.03815658905332,0.425,0.86,-0.435,"U",5.98379218158814e-05,"",3.3,215713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","DAP","chr5",10939380,10939387,8,"*","chr5:10939380-10939387",0.000178281417905991,0.000178281417905991,1.4405000024521e-07,2.47899208677068,0.86,0.5,0.36,"M",-6.86826474003346e-05,"",3.5725,-178146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","DCBLD2","chr3",99287468,99289424,1957,"*","chr3:99287468-99289424",-0.000224694917658318,0.000224694917658318,2.21837484996696e-07,3.26535243435849,0.585,0.03,0.555,"M",-5.98379218158814e-05,"",3.405,-385773,"ENSG00000057019",3162.20019714716,-0.192010755956578,0.0815561316418809,0.0130634106454229,0.0427474510927673,3072.63629789014,2785.22978859136,3239.85523401265,3912.63023918074,3073.63924711524,3183.21157537958,3236.20082533442,2794.19836967318,"protein_coding","discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]"
"85","DCBLD2","chr3",99582141,99583947,1807,"*","chr3:99582141-99583947",-0.000232047232132855,0.000232047232132855,2.36386434946074e-07,3.38991896342059,0.57,0,0.57,"M",-5.98379218158588e-05,"",2.3,-680446,"ENSG00000057019",3162.20019714716,-0.192010755956578,0.0815561316418809,0.0130634106454229,0.0427474510927673,3072.63629789014,2785.22978859136,3239.85523401265,3912.63023918074,3073.63924711524,3183.21157537958,3236.20082533442,2794.19836967318,"protein_coding","discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]"
"86","DCX","chrX",111287119,111288509,1391,"*","chrX:111287119-111288509",-0.000166195571078806,0.000166195571078806,1.27434059398491e-07,2.27422772375921,0.595,1,-0.405,"U",5.98379218158554e-05,"",2.655,123920,"ENSG00000077279",3499.29958968274,0.852877709079589,0.133109692683212,4.65269950282163e-12,9.64091239608578e-11,5148.08163246067,3947.4530296129,2379.34573882969,2123.01521076673,3653.84968497113,2788.79031603954,2467.39009678803,5486.47100799322,"protein_coding","doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]"
"87","DERPC","chr16",69106941,69107087,147,"*","chr16:69106941-69107087",0.000157348332727412,0.000157348332727412,1.11745561702228e-07,2.12433345889406,0,0.415,-0.415,"U",6.86826474002436e-05,"HAS3",1.925,25501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","DFFB","chr1",3857887,3857953,67,"*","chr1:3857887-3857953",-0.000172754365384287,0.000172754365384287,1.37553477734574e-07,2.38535004371648,0.47,0.09,0.38,"M",-5.98379218158879e-05,"CEP104",5.2325,620,"ENSG00000169598",400.144368166417,0.445118766316203,0.128640327488158,8.86530026434061e-05,0.000548257154278663,461.95037944427,401.474564121278,367.380844648315,308.601821681862,473.478967878484,369.673258753994,275.52207143719,543.073037365947,"protein_coding","DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]"
"89","DGKK","chrX",50395876,50397109,1234,"*","chrX:50395876-50397109",0.000246901228613482,0.000246901228613482,2.71401256270513e-07,3.64158267975107,0.91,0.465,0.445,"M",-6.86826474002412e-05,"",2.4225,73716,"ENSG00000274588",35.6042410177858,0.466778104807558,0.267818367867478,0.0113011417429679,0.0378377997973324,39.9764751442157,54.7465314710833,34.5190055374255,26.1760473748008,48.8239703088125,25.5213756043552,20.8298473251484,34.2406753764453,"protein_coding","diacylglycerol kinase kappa [Source:HGNC Symbol;Acc:HGNC:32395]"
"90","DIAPH2","chrX",96554477,96555206,730,"*","chrX:96554477-96555206",-0.000216861173545381,0.000216861173545381,2.06812022923401e-07,3.13262928750607,0.385,0,0.385,"M",-5.983792181587e-05,"",2.6425,-129506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","DIAPH2","chrX",96398468,96398884,417,"*","chrX:96398468-96398884",0.000188111522440562,0.000188111522440562,1.60428914049548e-07,2.64553855406746,0.07,0.48,-0.41,"U",6.86826474002759e-05,"",3.8,-285828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","DIPK2A","chr3",144146901,144148521,1621,"*","chr3:144146901-144148521",-0.000330584860866167,0.000330584860866167,4.73129156041074e-07,5.05939194853675,0.55,0,0.55,"M",-5.983792181587e-05,"",3.495,175078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","DIPK2A","chr3",144144835,144146208,1374,"*","chr3:144144835-144146208",-0.000299154035127821,0.000299154035127821,3.89175119709882e-07,4.52687543535703,0.555,0,0.555,"M",-5.983792181587e-05,"",3.62,173012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","DIPK2A","chr3",144642382,144643890,1509,"*","chr3:144642382-144643890",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",3.495,670559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","DIPK2A","chr3",144708046,144709930,1885,"*","chr3:144708046-144709930",-0.000232047232132855,0.000232047232132855,2.36386434946074e-07,3.38991896342059,0.57,0,0.57,"M",-5.98379218158588e-05,"",3.3625,736223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","DIPK2A","chr3",144354847,144356768,1922,"*","chr3:144354847-144356768",-0.000188927788744065,0.000188927788744065,1.57234029906215e-07,2.65936813937285,0.585,0,0.585,"M",-5.983792181587e-05,"",3.125,383024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","DIPK2A","chr3",144592346,144594044,1699,"*","chr3:144592346-144594044",-0.000152261898576299,0.000152261898576299,1.01642051869919e-07,2.0381565890524,0.58,0,0.58,"M",-5.983792181587e-05,"",3.5275,620523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","DIPK2A","chr3",143871900,143873781,1882,"*","chr3:143871900-143873781",-0.000215719558739118,0.000215719558739118,2.04663369275231e-07,3.11328748780006,0.575,0,0.575,"M",-5.983792181587e-05,"",2.76,-98042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","DIPK2A","chr3",144128717,144130092,1376,"*","chr3:144128717-144130092",-0.000167896725773361,0.000167896725773361,1.24030037355471e-07,2.30304952353836,0.595,0,0.595,"M",-5.98379218158814e-05,"",4.1825,156894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","DIPK2A","chr3",143997235,143999018,1784,"*","chr3:143997235-143999018",-0.000172932252085574,0.000172932252085574,1.31657566228667e-07,2.38836388772743,0.625,0.08,0.545,"M",-5.98379218158814e-05,"",2.24,25412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","DIPK2A","chr3",144967021,144968202,1182,"*","chr3:144967021-144968202",-0.000150980453534175,0.000150980453534175,9.98939785121001e-08,2.01644571669594,0.605,0,0.605,"M",-5.983792181587e-05,"",4.245,995198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","DLGAP1","chr18",3988526,3988648,123,"*","chr18:3988526-3988648",-0.000172533307112011,0.000172533307112011,1.31045857745255e-07,2.38160476571006,0.32,0,0.32,"M",-5.983792181587e-05,"",5.34,466659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","EDEM1","chr3",5541690,5543591,1902,"*","chr3:5541690-5543591",-0.000192937027770549,0.000192937027770549,1.63965876315929e-07,2.72729463944831,0.625,0.1,0.525,"M",-5.98379218158992e-05,"",4.2875,354044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","EDEM1","chr3",6140562,6142560,1999,"*","chr3:6140562-6142560",-0.00019976103136593,0.00019976103136593,1.7571993714711e-07,2.84291026567429,0.61,0.07,0.54,"M",-5.98379218158879e-05,"",2.655,952916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","EDEM1","chr3",5564648,5566618,1971,"*","chr3:5564648-5566618",-0.000212866466631495,0.000212866466631495,1.99339135037759e-07,3.06494899763184,0.455,0,0.455,"M",-5.98379218158879e-05,"",4.085,377002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","EDEM1","chr3",5428405,5429452,1048,"*","chr3:5428405-5429452",-0.000201468568792673,0.000201468568792673,1.78719423526429e-07,2.87184020484237,0.58,0,0.58,"M",-5.983792181587e-05,"",3.535,240759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","EDEM1","chr3",6078271,6080078,1808,"*","chr3:6078271-6080078",-0.00015394493075947,0.00015394493075947,1.03957944096037e-07,2.06667134832766,0.585,0,0.585,"M",-5.9837921815879e-05,"",2.2425,890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","EIF1AX","chrX",20207961,20209460,1500,"*","chrX:20207961-20209460",-0.000227144847341031,0.000227144847341031,2.2663739839342e-07,3.3068603483737,0.53,0.93,-0.4,"U",5.98379218159238e-05,"",4.25,-66123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","EOMES","chr3",28023625,28024692,1068,"*","chr3:28023625-28024692",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",4.26,-300914,"ENSG00000163508",22.9399877134709,2.06883545734517,0.384675484718057,2.44852611406634e-09,3.48135164550548e-08,36.6451022155311,29.6543712135035,8.21881084224418,9.64380692755817,49.9594114787849,7.73375018313795,6.62767869436539,35.0369701526417,"protein_coding","eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]"
"110","EPHA3","chr3",88914265,88916231,1967,"*","chr3:88914265-88916231",-0.000330584860866167,0.000330584860866167,4.73129156041074e-07,5.05939194853675,0.55,0,0.55,"M",-5.983792181587e-05,"",3.2725,-191390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","EPHA3","chr3",89302980,89304471,1492,"*","chr3:89302980-89304471",-0.000313291137900428,0.000313291137900428,4.25958193694431e-07,4.76639318578468,0.525,0,0.525,"M",-5.983792181587e-05,"",3.58,195359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","EPHA3","chr3",89985106,89986593,1488,"*","chr3:89985106-89986593",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",3.4025,877485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","EPHA3","chr3",88478854,88480586,1733,"*","chr3:88478854-88480586",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",3.09,-627035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","EPHA3","chr3",89987293,89989254,1962,"*","chr3:89987293-89989254",-0.000264654304856959,0.000264654304856959,3.06124678902885e-07,3.94236403172988,0.5,0,0.5,"M",-5.983792181587e-05,"",2.7925,879672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","EPHA3","chr3",88483258,88484081,824,"*","chr3:88483258-88484081",-0.000159001393138502,0.000159001393138502,1.11052325212479e-07,2.15234042166102,0.6,0,0.6,"M",-5.983792181587e-05,"",2.8475,-623540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","ETV5","chr3",185977578,185977940,363,"*","chr3:185977578-185977940",-0.000255784077936512,0.000255784077936512,2.86310929163293e-07,3.79208028321776,0.53,0,0.53,"M",-5.983792181587e-05,"",4.17,187027,"ENSG00000244405",2340.48734028867,0.28041969380098,0.0619802508597807,2.96888480734191e-06,2.49614773407456e-05,2501.86106944217,2756.71597011684,2126.20636488857,2023.82176808328,2549.065426588,2102.80667479521,2155.88919815286,2507.53225024247,"protein_coding","ETS variant transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3494]"
"117","EYA1","chr8",71261231,71261950,720,"*","chr8:71261231-71261950",0.000151329831595475,0.000151329831595475,1.03105989845131e-07,2.02236505169954,1,0.655,0.345,"M",-6.86826474002521e-05,"",3.1525,330075,"ENSG00000104313",1560.97421669919,0.217303225398965,0.06623244831376,0.000673923992233718,0.00329610558924917,1644.58776912732,1638.97428591556,1374.18517282323,1525.09918125813,1771.28822515692,1392.84840798314,1459.03612400244,1681.7745673268,"protein_coding","EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]"
"118","FAM110B","chr8",57188587,57188790,204,"*","chr8:57188587-57188790",0.00021683473233863,0.00021683473233863,2.09975657302158e-07,3.13218130757259,0.8,0.4,0.4,"M",-6.86826474003228e-05,"",3.03,-805733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","FAM135B","chr8",138185046,138185211,166,"*","chr8:138185046-138185211",0.000171870625226059,0.000171870625226059,1.33784570360574e-07,2.37037728316817,1,0.555,0.445,"M",-6.86826474003091e-05,"",2.68,312050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","FAM209B","chr20",56533306,56533432,127,"*","chr20:56533306-56533432",-0.000191491555101688,0.000191491555101688,1.68356154293093e-07,2.70280473034041,0.655,0.2,0.455,"M",-5.9837921815879e-05,"",3.25,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","FANCB","chrX",15001854,15002644,791,"*","chrX:15001854-15002644",0.000186963075234075,0.000186963075234075,1.56112293110803e-07,2.62608099647541,0,0.355,-0.355,"U",6.86826474002759e-05,"",3.475,-128599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","FBXO33","chr14",39662128,39662176,49,"*","chr14:39662128-39662176",0.000196419946874799,0.000196419946874799,1.72391980641121e-07,2.78630396845934,1,0.53,0.47,"M",-6.86826474003014e-05,"",2.48,-229695,"ENSG00000165355",463.244344651207,-0.315706550130237,0.0886961776542403,0.000145809163832385,0.000850553455688915,420.86344665716,387.787931253507,516.963201977159,472.54653945035,414.43602703992,525.895012453381,555.778199084641,411.68439929354,"protein_coding","F-box protein 33 [Source:HGNC Symbol;Acc:HGNC:19833]"
"123","FGF12","chr3",192267119,192269072,1954,"*","chr3:192267119-192269072",-0.000316748629010415,0.000316748629010415,4.35197569981676e-07,4.82497170120669,0.57,0.04,0.53,"M",-5.98379218158992e-05,"",3.34,498692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","FGF12","chr3",191956509,191957909,1401,"*","chr3:191956509-191957909",-0.000267786719208401,0.000267786719208401,3.13272115710993e-07,3.99543493677547,0.505,0,0.505,"M",-5.983792181587e-05,"",4.4675,809855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","FGF12","chr3",192728023,192729614,1592,"*","chr3:192728023-192729614",-0.000261522782497356,0.000261522782497356,2.99057770432117e-07,3.88930823924888,0.54,0,0.54,"M",-5.983792181587e-05,"FGF12",3.155,38150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","FGF12","chr3",192491715,192492691,977,"*","chr3:192491715-192492691",-0.000188927788744065,0.000188927788744065,1.57234029906215e-07,2.65936813937285,0.585,0,0.585,"M",-5.983792181587e-05,"",2.615,275073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","FGF12","chr3",192596266,192597294,1029,"*","chr3:192596266-192597294",-0.000188927788744065,0.000188927788744065,1.57234029906215e-07,2.65936813937285,0.585,0,0.585,"M",-5.983792181587e-05,"",1.8325,170470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","FRMPD2","chr10",48172896,48173012,117,"*","chr10:48172896-48173012",-0.000175533410171313,0.000175533410171313,1.41944860902963e-07,2.43243398774892,0.385,0,0.385,"M",-5.983792181587e-05,"",4.105,101684,"ENSG00000170324",5.00443998618871,1.78974525179417,1.12971017473219,0.000522803547067075,0.00263580966294674,12.2150340718437,3.42165821694271,0.821881084224418,0,11.3544116997238,0.773375018313795,1.8936224841044,9.55553731435684,"protein_coding","FERM and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28572]"
"129","FSCB","chr14",43862239,43862278,40,"*","chr14:43862239-43862278",-0.000221192514655386,0.000221192514655386,2.22931631321871e-07,3.2060129995502,0.44,1,-0.56,"U",5.98379218159051e-05,"",1.68,645005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","GABRA3","chrX",152236083,152236264,182,"*","chrX:152236083-152236264",0.000160188864550876,0.000160188864550876,1.13903807169197e-07,2.17245914654856,0.86,0.46,0.4,"M",-6.8682647400265e-05,"",5.1925,215051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","GBE1","chr3",82618515,82619716,1202,"*","chr3:82618515-82619716",-0.000330584860866167,0.000330584860866167,4.73129156041074e-07,5.05939194853675,0.55,0,0.55,"M",-5.983792181587e-05,"",4.0075,-856870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","GBE1","chr3",82569241,82570100,860,"*","chr3:82569241-82570100",-0.000159001393138502,0.000159001393138502,1.11052325212479e-07,2.15234042166102,0.6,0,0.6,"M",-5.983792181587e-05,"",3.455,-807596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","GGH","chr8",62806570,62807058,489,"*","chr8:62806570-62807058",-0.000190096758781055,0.000190096758781055,1.59183533768968e-07,2.67917340485623,0.415,0,0.415,"M",-5.983792181587e-05,"",2.49,232349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","GLRA3","chr4",175442257,175442784,528,"*","chr4:175442257-175442784",-0.00020322125739969,0.00020322125739969,1.89066969167682e-07,2.9015351175204,0.565,0,0.565,"M",-5.983792181587e-05,"",1.68,-613010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","GOLIM4","chr3",168990108,168990476,369,"*","chr3:168990108-168990476",-0.000188393512221537,0.000188393512221537,1.5634665502326e-07,2.65031616367171,0.515,0,0.515,"M",-5.983792181587e-05,"",5.24,-894184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","GPC4","chrX",133342875,133343344,470,"*","chrX:133342875-133343344",-0.000186418300747099,0.000186418300747099,1.59739099588234e-07,2.61685115909573,0.335,0.78,-0.445,"U",5.98379218157997e-05,"",3.61,72145,"ENSG00000076716",88.4800100406429,1.01649292910458,0.246137599685729,6.3033079126775e-07,6.05528108577651e-06,149.911781790809,95.8064300743958,45.203459632343,71.6397086047179,147.60735209641,44.8557510622001,59.6491082492885,93.1664888149792,"protein_coding","glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]"
"137","GPIHBP1","chr8",143113601,143113664,64,"*","chr8:143113601-143113664",-0.000196037596681948,0.000196037596681948,1.69260254507641e-07,2.77982600338119,0.39,0,0.39,"M",-5.983792181587e-05,"",3.815,-99554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","GPLD1","chr6",24563745,24564138,394,"*","chr6:24563745-24564138",-0.000191491555101431,0.000191491555101431,1.6835615429267e-07,2.70280473033605,0.545,1,-0.455,"U",5.9837921815844e-05,"",4.55,-68540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","GPM6A","chr4",175442257,175442784,528,"*","chr4:175442257-175442784",-0.00020322125739969,0.00020322125739969,1.89066969167682e-07,2.9015351175204,0.565,0,0.565,"M",-5.983792181587e-05,"",1.68,559880,"ENSG00000150625",8.86367246232115,1.1412145936277,0.725341249330409,0.0016126419928648,0.00707435138739019,9.99411878605393,9.12442191184722,0.821881084224418,6.88843351968441,15.8961763796134,4.64025010988277,2.8404337261566,20.7036641811065,"protein_coding","glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]"
"140","GPR143","chrX",9830216,9831527,1312,"*","chrX:9830216-9831527",-0.000163826658864768,0.000163826658864768,1.18013391627528e-07,2.23409244755776,0.47,0.9,-0.43,"U",5.98379218158476e-05,"",3,-43919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","GPR149","chr3",154799984,154801543,1560,"*","chr3:154799984-154801543",-0.000163504699548728,0.000163504699548728,1.1754311482413e-07,2.22863765442598,0.69,0.23,0.46,"M",-5.98379218158566e-05,"",3.2475,-369794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","GPR149","chr3",153526133,153528117,1985,"*","chr3:153526133-153528117",-0.000212458994393936,0.000212458994393936,1.98584058014663e-07,3.05804540251255,0.53,0,0.53,"M",-5.98379218158588e-05,"",3.09,902073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","GPR27","chr3",71488540,71489043,504,"*","chr3:71488540-71489043",-0.000155254823817874,0.000155254823817874,1.05776099950988e-07,2.08886420097196,0.53,0,0.53,"M",-5.983792181587e-05,"",1.88,-264812,"ENSG00000170837",236.348510903148,2.37737010773229,0.154478036450239,1.45814149380839e-54,4.75115121615308e-52,324.253631725305,479.032150371979,79.7224651697685,67.5066484929072,383.779115450666,69.6037516482416,82.3725780585413,404.517746307773,"protein_coding","G protein-coupled receptor 27 [Source:HGNC Symbol;Acc:HGNC:4482]"
