"","annotated_genes","seqnames","start","end","width","strand","average_shap_value","reliability_shap_value","z_score","avg_meth_R","avg_meth_S","diff","direction","gene_symbol","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"244","ALDH3B2","chr11",67970727,67970758,32,"*",-0.000213792903493488,0.000213792903493488,3.51641261457872,0.835,1,-0.165,"U","",-289503,"ENSG00000132746",18.9030258559021,3.12440908823375,2.70802857621218,0.00474309183165227,0.0164441558803148,0,55.2834200004945,0,0,0,0,0,0,112.629991059178,0,0,62.1525703685077,0,0,72.3824322662531,0,"protein_coding","aldehyde dehydrogenase 3 family member B2 [Source:HGNC Symbol;Acc:HGNC:411]"
"245","ALG10","chr12",33866493,33868211,1719,"*",0.000180220695662603,0.000180220695662603,2.93378698980688,0.05,0.425,-0.375,"U","",-154257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","ALG10","chr12",34341117,34341203,87,"*",-0.000157406364004832,0.000157406364004832,2.53785788371954,0.405,0,0.405,"M","",318649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","ALK","chr2",29921620,29921985,366,"*",-0.000143320028285302,0.000143320028285302,2.29339793665025,0.16,0,0.16,"M","ALK",-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","ALLC","chr2",3643786,3643794,9,"*",-0.000571621971490408,0.000571621971490408,9.72632247077343,0.58,0.2,0.38,"M","",-14406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","ALOX12B","chr17",8058981,8060123,1143,"*",-0.000226576762831312,0.000226576762831312,3.73826886160347,0.11,0.03,0.08,"M","",27593,"ENSG00000179477",3.58400942879821,2.54268408277116,1.09920227257898,0.000574095397051297,0.00274515907065493,8.46257392089184,7.02011682545961,0,0,0,0,1.61827300877435,0,15.6943430164429,1.90700905727912,3.29501029832073,5.54933664004533,0.79499915651057,5.69113214247591,7.31135679457102,0,"protein_coding","arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]"
"250","ALOX15","chr17",4595030,4595597,568,"*",-0.00039897883104595,0.00039897883104595,6.73020383387253,0.29,0.02,0.27,"M","",46697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","ALOX15","chr17",4599876,4600178,303,"*",-0.000226576762831494,0.000226576762831494,3.73826886160663,0.08,0,0.08,"M","",42116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","ALOX15","chr17",4598001,4598113,113,"*",-0.000199211228804835,0.000199211228804835,3.26335635541066,0.285,0,0.285,"M","",44181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","ALOX15","chr17",4625946,4626482,537,"*",-0.000132956996784895,0.000132956996784895,2.11355371154391,0.11,0.01,0.1,"M","",15812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","ALOX15","chr17",4599289,4599843,555,"*",-0.000138784274365009,0.000138784274365009,2.21468263514449,0.415,0,0.415,"M","",42451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","ALOX15B","chr17",8015759,8015782,24,"*",-0.000240994119868402,0.000240994119868402,3.98847348602395,0.46,0.92,-0.46,"U","",-23252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","ALOX15B","chr17",8058981,8060123,1143,"*",-0.000226576762831312,0.000226576762831312,3.73826886160347,0.11,0.03,0.08,"M","",19947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","ALOX5AP","chr13",30734895,30735663,769,"*",-0.000167984549726111,0.000167984549726111,2.72143598188509,0.245,0,0.245,"M","ALOX5AP",21417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","ALOX5AP","chr13",30730706,30730752,47,"*",-0.000132956996785214,0.000132956996785214,2.11355371154943,0.75,0.5,0.25,"M","",17228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","ALPG","chr2",232388150,232388210,61,"*",-0.000130368836806034,0.000130368836806034,2.06863774020566,0.295,0,0.295,"M","",-18634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","ALPK3","chr15",84858307,84858376,70,"*",-0.000203118581769475,0.000203118581769475,3.33116613347753,0.285,0.14,0.145,"M","",40951,"ENSG00000136383",42.6250099329737,1.33201700388806,0.659194373393942,0.00335383626167367,0.0123275448636752,23.0797470569777,125.484588255091,28.4431789017046,6.55057585737744,38.815389356237,32.1951305487891,34.7928696886486,32.3460375567955,84.0108949703707,3.81401811455823,1.64750514916037,75.4709783046166,19.8749789127643,23.5775474474002,145.496000211963,6.40071859512511,"protein_coding","alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:17574]"
"261","ALPL","chr1",21574598,21574626,29,"*",-0.000151104381533879,0.000151104381533879,2.42849074013053,0.455,1,-0.545,"U","",65201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","ALPP","chr2",232388150,232388210,61,"*",-0.000130368836806034,0.000130368836806034,2.06863774020566,0.295,0,0.295,"M","",9426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","AMACR","chr5",34020648,34021195,548,"*",-0.000378670018676787,0.000378670018676787,6.37775651927942,0.8,0.94,-0.14,"U","",-12544,"ENSG00000242110",52.4727576018736,-1.09314089704275,0.312406931371153,5.43098125037962e-05,0.000348985439507191,35.3889454873659,24.5704088891086,82.0788876877761,82.2461190981835,75.2543263029085,73.92955903796,37.2202792018101,154.542179438023,24.9263094967034,47.6752264319779,35.4213607069479,32.1861525122629,35.7749620429757,39.8379249973314,18.2783919864276,40.233088312215,"protein_coding","alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]"
"264","AMELX","chrX",11118573,11120353,1781,"*",0.000333885869429116,0.000333885869429116,5.60055434458967,0.94,0.715,0.225,"M","",-173060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","AMFR","chr16",56424613,56424825,213,"*",0.000181787135608253,0.000181787135608253,2.96097161992114,0,0.16,-0.16,"U","AMFR",720,"ENSG00000159461",2620.53637961555,0.265622176543396,0.0777173850166983,0.000524849563673911,0.00254416812069396,2386.4458456915,3109.91175367861,2340.46729248312,2365.48572627519,2411.30704490583,2562.4939092351,3111.93899587308,2282.19264984057,2594.18258095321,2407.59893481488,2297.44593050413,3122.05679368951,2729.23210430079,2680.52323910615,3200.18086898374,2327.11840351334,"protein_coding","autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]"
"266","AMIGO1","chr1",109509533,109509701,169,"*",-0.000540224624879397,0.000540224624879397,9.18144026411112,0.18,0,0.18,"M","AMIGO1",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","AMPH","chr7",38325507,38325781,275,"*",0.000295458643351867,0.000295458643351867,4.9336727765294,0.14,0.34,-0.2,"U","",305639,"ENSG00000078053",97.7753141910057,-2.77100428887056,1.31129188803033,0.000939990244569272,0.00419878854081401,33.8502956835674,2.63254380954736,0,400.312969061955,2.37645240956553,3.57723672764323,15.3735935833564,5.39100625946592,1.8463932960521,362.331720883032,327.853524682913,0,26.2349721648488,26.0166040798899,7.31135679457102,349.296357619684,"protein_coding","amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]"
"268","AMY1C","chr1",104217610,104217631,22,"*",-0.000242226641781141,0.000242226641781141,4.00986316802139,0.83,1,-0.17,"U","",472287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","AMZ1","chr7",2698562,2698751,190,"*",-0.000138844967167524,0.000138844967167524,2.2157359224994,0.225,0,0.225,"M","",19040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","ANG","chr14",20684811,20685033,223,"*",-0.000234400736265308,0.000234400736265308,3.87404924974899,0.165,0,0.165,"M","RNASE4",634,"ENSG00000214274",110.357195929777,-1.72313527864577,0.407303259342036,9.14481940402575e-07,8.79382466394479e-06,45.3901692120562,35.9780987304805,251.112636589335,66.9614420976361,216.257169270463,255.176219905217,50.1664632720049,362.994421470705,52.6222089374849,101.071480035793,56.0151750714525,63.2624376965168,38.9549586690179,31.7077362223658,54.8351759592827,83.2093417366264,"protein_coding","angiogenin [Source:HGNC Symbol;Acc:HGNC:483]"
"271","ANGEL1","chr14",77022027,77023716,1690,"*",-0.000312723408692041,0.000312723408692041,5.23329247218745,0.255,0.04,0.215,"M","CIPC",-195781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","ANGEL1","chr14",77000937,77001851,915,"*",-0.000179687020479897,0.000179687020479897,2.92452537560754,0.945,0.88,0.0650000000000001,"M","",-174691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","ANGPT2","chr8",6777312,6777551,240,"*",0.000127858642469787,0.000127858642469787,2.0250748160506,0.87,0.755,0.115,"M","",-213903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","ANGPT2","chr8",7137035,7138818,1784,"*",0.000136088080448898,0.000136088080448898,2.16789179932002,0,0.385,-0.385,"U","",-573626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","ANGPTL1","chr1",178809724,178811474,1751,"*",0.000128418206327655,0.000128418206327655,2.03478571275221,0.31,0.675,-0.365,"U","",59603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","ANGPTL8","chr19",11222178,11222822,645,"*",-0.000135546252603782,0.000135546252603782,2.15848870053158,0.305,0,0.305,"M","",-14680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","ANK2","chr4",113542437,113542491,55,"*",-0.000278768435774466,0.000278768435774466,4.64402418784144,0.69,0.98,-0.29,"U","",724405,"ENSG00000145362",331.235512831707,1.25870744626267,0.770345768524962,0.00963892245797644,0.0295717000252073,876.261063263255,164.972745398301,260.051921387013,9.46194290510075,287.550741557429,267.100342330694,971.772941768999,219.234254551614,146.788267036142,31.4656494451054,9.8850308949622,132.074212033079,891.98905360486,853.669821371386,163.774392198391,13.7158255609824,"protein_coding","ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]"
"278","ANK2","chr4",113233279,113233296,18,"*",-0.000226576762829652,0.000226576762829652,3.73826886157465,0.71,0.95,-0.24,"U","",415247,"ENSG00000145362",331.235512831707,1.25870744626267,0.770345768524962,0.00963892245797644,0.0295717000252073,876.261063263255,164.972745398301,260.051921387013,9.46194290510075,287.550741557429,267.100342330694,971.772941768999,219.234254551614,146.788267036142,31.4656494451054,9.8850308949622,132.074212033079,891.98905360486,853.669821371386,163.774392198391,13.7158255609824,"protein_coding","ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]"
"279","ANK2","chr4",113473366,113473922,557,"*",-0.000250054303730483,0.000250054303730483,4.14570756814877,0.61,0.96,-0.35,"U","",655334,"ENSG00000145362",331.235512831707,1.25870744626267,0.770345768524962,0.00963892245797644,0.0295717000252073,876.261063263255,164.972745398301,260.051921387013,9.46194290510075,287.550741557429,267.100342330694,971.772941768999,219.234254551614,146.788267036142,31.4656494451054,9.8850308949622,132.074212033079,891.98905360486,853.669821371386,163.774392198391,13.7158255609824,"protein_coding","ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]"
"280","ANK3","chr10",59920081,59921952,1872,"*",0.00013033547054171,0.00013033547054171,2.06805868860752,0,0.185,-0.185,"U","",811538,"ENSG00000151150",163.817089902514,6.18765789093118,0.880049912757907,1.62823997411155e-13,4.49437985944303e-12,513.139709566805,38.6106425400279,0,3.63920880965414,0,0,640.026974970256,0,58.1613888256413,8.58154075775602,6.59002059664147,72.1413763205893,568.424396905058,656.919253017219,47.5238191647116,7.31510696585727,"protein_coding","ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]"
"281","ANKEF1","chr20",10102686,10104641,1956,"*",0.000132252874803383,0.000132252874803383,2.10133409490563,0,0.375,-0.375,"U","",67699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","ANKFN1","chr17",56566221,56567992,1772,"*",0.00016102742241139,0.00016102742241139,2.6006991906447,0,0.225,-0.225,"U","",683920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","ANKFY1","chr17",4215203,4215688,486,"*",-0.000477438525315328,0.000477438525315328,8.09182498858998,0.32,0,0.32,"M","",48307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","ANKHD1-EIF4EBP3","chr5",140513392,140515235,1844,"*",-0.000132956996786688,0.000132956996786688,2.11355371157502,0.85,1,-0.15,"U","",111484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","ANKRD18A","chr9",38628470,38629056,587,"*",-0.000206639348583148,0.000206639348583148,3.39226693968085,0.64,0.8,-0.16,"U","",-7874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","ANKRD18B","chr9",33630953,33632349,1397,"*",-0.000163777141923854,0.000163777141923854,2.64841893123986,0.055,0.12,-0.065,"U","",106702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","ANKRD24","chr19",4168241,4168295,55,"*",-0.000289214106725743,0.000289214106725743,4.82530257128305,0.12,0.02,0.1,"M","",-14394,"ENSG00000089847",159.066971823822,1.7817920066444,0.444759764499986,2.25629545828337e-06,2.0165277698736e-05,273.110340174237,313.272713336135,104.020768554805,24.7466199056481,60.9956118455153,106.124689586749,148.071980302853,118.60213770825,141.249087147986,34.3261630310241,36.2451132815281,239.731342849958,189.209799249516,133.335095909436,590.026493321881,32.0035929756255,"protein_coding","ankyrin repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:29424]"
"288","ANKRD30B","chr18",15622943,15624533,1591,"*",-0.000201871591689353,0.000201871591689353,3.30952536507246,0.235,0,0.235,"M","",894671,"ENSG00000180777",8.45469037759903,3.92223129754588,0.779098959927329,4.83181834447074e-08,6.00833373210841e-07,6.15459921519407,27.202952698656,0.812662254334417,0,2.37645240956553,0,8.90050154825894,5.39100625946592,15.6943430164429,0,0,23.3072138881904,10.3349890346374,7.31716989746903,27.7831558193699,0,"protein_coding","ankyrin repeat domain 30B [Source:HGNC Symbol;Acc:HGNC:24165]"
"289","ANKRD30BL","chr2",131673312,131673902,591,"*",-0.000461744208516102,0.000461744208516102,7.81945948982453,0.175,0.02,0.155,"M","",584067,"ENSG00000163046",54.6390872941967,4.171082965238,2.98657713081245,0.00141431063881161,0.0059386253931092,267.725065860942,0,0,0,0,0,167.491256408146,0,0,0,0,0,252.014732613851,186.994341824208,0,0,"protein_coding","ankyrin repeat domain 30B like [Source:HGNC Symbol;Acc:HGNC:35167]"
"290","ANKRD34C","chr15",79112788,79114767,1980,"*",0.000236547739393198,0.000236547739393198,3.91130920730303,0.06,0.545,-0.485,"U","",-167955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","ANKRD42","chr11",83194545,83195109,565,"*",-0.000351921624490496,0.000351921624490496,5.91355410658928,0.24,0,0.24,"M","ANKRD42",833,"ENSG00000137494",281.802696002879,1.16709648721952,0.222822020802227,1.54553055912119e-08,2.07916510483834e-07,277.726289585632,498.428294607633,202.35290132927,175.409864625329,226.555129711914,208.672142445855,311.517554189063,111.414129362296,504.065369822224,162.095769868725,105.440329546263,530.516582788334,290.969691282869,334.963777528582,423.327558405662,145.387750946413,"protein_coding","ankyrin repeat domain 42 [Source:HGNC Symbol;Acc:HGNC:26752]"
"292","ANKRD52","chr12",56237857,56237920,64,"*",-0.000149521476619884,0.000149521476619884,2.40102037031999,0.43,0.85,-0.42,"U","",20464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","ANKRD62","chr18",12091445,12091894,450,"*",0.000149514948768454,0.000149514948768454,2.40090708335545,0.09,0.195,-0.105,"U","",-1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","ANO1","chr11",69835391,69835900,510,"*",-0.000885681122862273,0.000885681122862273,15.1766315539614,0.38,0.09,0.29,"M","",-149976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","ANO1","chr11",69930897,69932735,1839,"*",-0.000218754921348462,0.000218754921348462,3.60252547219731,0.175,0.02,0.155,"M","",-53141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","ANO1","chr11",70159811,70161218,1408,"*",-0.000281379667627106,0.000281379667627106,4.68934055777552,0.195,0,0.195,"M","",173935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","ANO1","chr11",69996610,69998535,1926,"*",-0.000265714294736346,0.000265714294736346,4.41747736326241,0.185,0,0.185,"M","",10734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","ANO1","chr11",70084435,70086276,1842,"*",-0.000158890392128316,0.000158890392128316,2.5636123058588,0.175,0,0.175,"M","",98559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","ANO1","chr11",69823346,69825218,1873,"*",-0.000169284302298152,0.000169284302298152,2.74399241183896,0.185,0,0.185,"M","",-160658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","ANO2","chr12",5872469,5873592,1124,"*",0.000193019358987777,0.000193019358987777,3.15590015119432,0,0.4,-0.4,"U","",72640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","ANO3","chr11",26219093,26220843,1751,"*",0.000233986818341675,0.000233986818341675,3.8668659512875,0.08,0.4,-0.32,"U","",30251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","ANO5","chr11",21747840,21749214,1375,"*",0.000380003158665906,0.000380003158665906,6.40089236792486,0.08,0.335,-0.255,"U","",-50720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","ANO5","chr11",21437578,21438424,847,"*",0.000187899633773372,0.000187899633773372,3.06705037650184,0,0.52,-0.52,"U","",-361510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","ANO5","chr11",20885614,20887504,1891,"*",0.000182780250324712,0.000182780250324712,2.97820653294986,0,0.38,-0.38,"U","",-912430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","ANO6","chr12",45402975,45404464,1490,"*",-0.000138844967167526,0.000138844967167526,2.21573592249943,0.715,0.94,-0.225,"U","",186988,"ENSG00000177119",3542.70474711839,-0.936145997725929,0.264168321249101,6.8973153679691e-05,0.000430420014349159,1479.41178635227,3044.09815843993,6616.69607479082,3353.16699721532,7256.10135720676,7251.05884693282,2096.47268286717,4553.60328716221,2305.22203012105,3157.05349432558,3141.79231944882,2931.15961327195,1817.36807178316,1974.82285343914,2825.8394011017,2879.40897943557,"protein_coding","anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]"
"306","ANO8","chr19",17348181,17348540,360,"*",0.000289755942655855,0.000289755942655855,4.83470581038177,0.94,0.69,0.25,"M","",-13326,"ENSG00000074855",779.228089909736,1.87193785373969,0.174543408682293,3.13476617308732e-28,3.804309901702e-26,1294.00448499455,1279.41629144001,254.363285606672,339.174261059765,220.217923286406,256.368632147765,880.340516773248,314.475365135512,1335.8655496937,433.844560530999,373.159916284823,1253.04021332224,1222.70870271326,1117.90095655777,1455.69113779909,437.077641209972,"protein_coding","anoctamin 8 [Source:HGNC Symbol;Acc:HGNC:29329]"
"307","ANO8","chr19",17341559,17343542,1984,"*",0.000127858642469787,0.000127858642469787,2.0250748160506,0.96,0.845,0.115,"M","",-6704,"ENSG00000074855",779.228089909736,1.87193785373969,0.174543408682293,3.13476617308732e-28,3.804309901702e-26,1294.00448499455,1279.41629144001,254.363285606672,339.174261059765,220.217923286406,256.368632147765,880.340516773248,314.475365135512,1335.8655496937,433.844560530999,373.159916284823,1253.04021332224,1222.70870271326,1117.90095655777,1455.69113779909,437.077641209972,"protein_coding","anoctamin 8 [Source:HGNC Symbol;Acc:HGNC:29329]"
"308","ANO9","chr11",575539,575672,134,"*",-0.0001485070515752,0.0001485070515752,2.38341562926691,0.11,0,0.11,"M","PHRF1",-133528,"ENSG00000185101",1241.3643537196,3.88166556690294,0.894949073058845,1.03200643006458e-06,9.82541176481877e-06,96.1656127374073,4071.66775876658,55.2610332947403,172.498497577606,71.2935722869659,71.5447345528646,29.1289141579384,84.459098064966,5553.0278378767,205.003473657505,153.217978871914,4265.22014153884,58.0349384252716,45.5290571398073,4745.07055967659,184.706450887896,"protein_coding","anoctamin 9 [Source:HGNC Symbol;Acc:HGNC:20679]"
"309","ANOS1","chrX",8748655,8748672,18,"*",-0.000132956996784895,0.000132956996784895,2.11355371154391,0.5,1,-0.5,"U","",-16518,"ENSG00000011201",371.203496388971,-10.4210086040669,1.82491467894039,1.94622760160467e-12,4.67257080779245e-11,0,0,1461.16673329328,3.63920880965414,1837.78986339734,1519.13319700582,0,1114.14129362296,0,0,2.47125772374055,0,0,0,0,0.914388370732158,"protein_coding","anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]"
"310","ANTXR2","chr4",80039975,80041746,1772,"*",-0.00014714766854122,0.00014714766854122,2.35982434824463,0.645,1,-0.355,"U","",37854,"ENSG00000163297",1660.75824697369,1.14536924332665,0.600720745911326,0.00630149745302967,0.0208254245368309,4085.88455398696,886.289749214276,1428.6602431199,219.080370341179,1441.71446180309,1507.20907458035,4539.25578961206,1315.40552730968,782.870757526092,227.887582344854,192.758102451763,906.761606983408,4195.21054890628,3595.16947628978,1036.75039347017,211.223713639129,"protein_coding","ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]"
"311","ANXA10","chr4",168097360,168099141,1782,"*",-0.000164086146120293,0.000164086146120293,2.65378151459793,0.15,0.33,-0.18,"U","",4823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","ANXA11","chr10",80181614,80183602,1989,"*",-0.000349967208672819,0.000349967208672819,5.87963638683209,0.84,0.97,-0.13,"U","",21970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","ANXA4","chr2",69642594,69643073,480,"*",-0.00130976394560005,0.00130976394560005,22.5363357711293,0.425,0,0.425,"M","AAK1",-1352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","AOAH","chr7",36737069,36737202,134,"*",-0.000529441229266648,0.000529441229266648,8.99430087078649,0.365,0.75,-0.385,"U","",-12520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","AOAH","chr7",37208203,37208972,770,"*",-0.000430358887056154,0.000430358887056154,7.27478597248008,0.435,0,0.435,"M","",-483654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","AOAH","chr7",36753479,36755064,1586,"*",0.000132252874803564,0.000132252874803564,2.10133409490877,0.05,0.425,-0.375,"U","",-28930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","AOC1","chr7",150905779,150905796,18,"*",-0.000206639348583948,0.000206639348583948,3.39226693969473,0.76,1,-0.24,"U","",81152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","AOPEP","chr9",94699624,94700948,1325,"*",0.000272404640000014,0.000272404640000014,4.53358431127188,0.15,0.335,-0.185,"U","",-25656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
