"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"3547","GCG","chr2",162176959,162177497,539,"*",3847700,3847707,"R","chr2:162176959-162177497","7CpGs","538bp",0.229,0.753,0.524,0.469,0.456,0.00952,"U",-24555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3548","GCNA","chrX",71585674,71586853,1180,"*",28540478,28540489,"R","chrX:71585674-71586853","11CpGs","1179bp",0.8,0.363,0.437,0.385,0.366,0.0129,"M",7237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","GCNA","chrX",71559614,71560234,621,"*",28540031,28540043,"R","chrX:71559614-71560234","12CpGs","620bp",0.037,0.477,0.44,0.4,0.38,0.0096,"U",-18203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3550","GCNA","chrX",71606590,71607359,770,"*",28540750,28540760,"R","chrX:71606590-71607359","10CpGs","769bp",0.176,0.607,0.431,0.342,0.318,0.0347,"U",28153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551","GCNT1","chr9",76623278,76623440,163,"*",14296703,14296711,"R","chr9:76623278-76623440","8CpGs","162bp",0.44,0.0879,0.353,0.282,0.251,0.0404,"M",203428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3552","GCNT1","chr9",76571743,76571796,54,"*",14296179,14296188,"R","chr9:76571743-76571796","9CpGs","53bp",0.869,0.554,0.314,0.259,0.253,0.029,"M",151893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3553","GCNT1","chr9",76799066,76799079,14,"*",14298410,14298413,"R","chr9:76799066-76799079","3CpGs","13bp",0.414,0.804,0.389,0.331,0.321,0.0197,"U",379216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3554","GDA","chr9",72337311,72337506,196,"*",14265279,14265282,"R","chr9:72337311-72337506","3CpGs","195bp",0,0.367,0.367,0.335,0.333,0.00816,"U",222716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3555","GDAP1","chr8",74240096,74241070,975,"*",13181491,13181500,"R","chr8:74240096-74241070","9CpGs","974bp",0.826,0.52,0.305,0.239,0.232,0.044,"M",-79543,"ENSG00000104381",3033.27831616801,-0.248347269140235,0.0596495428052118,1.80114673841155e-05,0.000129389008100531,2630.67415601797,2740.74823177111,3287.52433689767,3475.90355403275,2856.76998365052,3280.65682768712,3182.23258453744,2811.7168547495,"protein_coding","ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]"
"3556","GDAP1","chr8",74289357,74289999,643,"*",13181906,13181913,"R","chr8:74289357-74289999","7CpGs","642bp",0.0833,0.618,0.534,0.465,0.422,0.0263,"U",-30614,"ENSG00000104381",3033.27831616801,-0.248347269140235,0.0596495428052118,1.80114673841155e-05,0.000129389008100531,2630.67415601797,2740.74823177111,3287.52433689767,3475.90355403275,2856.76998365052,3280.65682768712,3182.23258453744,2811.7168547495,"protein_coding","ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]"
"3557","GDAP1","chr8",74082761,74083238,478,"*",13180204,13180208,"R","chr8:74082761-74083238","4CpGs","477bp",0.697,0.381,0.316,0.256,0.238,0.0305,"M",-237375,"ENSG00000104381",3033.27831616801,-0.248347269140235,0.0596495428052118,1.80114673841155e-05,0.000129389008100531,2630.67415601797,2740.74823177111,3287.52433689767,3475.90355403275,2856.76998365052,3280.65682768712,3182.23258453744,2811.7168547495,"protein_coding","ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]"
"3558","GDAP1","chr8",74050626,74050752,127,"*",13179954,13179957,"R","chr8:74050626-74050752","3CpGs","126bp",0.607,0.152,0.455,0.402,0.363,0.0287,"M",-269861,"ENSG00000104381",3033.27831616801,-0.248347269140235,0.0596495428052118,1.80114673841155e-05,0.000129389008100531,2630.67415601797,2740.74823177111,3287.52433689767,3475.90355403275,2856.76998365052,3280.65682768712,3182.23258453744,2811.7168547495,"protein_coding","ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]"
"3559","GDAP1","chr8",74095843,74096115,273,"*",13180309,13180313,"R","chr8:74095843-74096115","4CpGs","272bp",0.177,0.611,0.434,0.376,0.368,0.0165,"U",-224498,"ENSG00000104381",3033.27831616801,-0.248347269140235,0.0596495428052118,1.80114673841155e-05,0.000129389008100531,2630.67415601797,2740.74823177111,3287.52433689767,3475.90355403275,2856.76998365052,3280.65682768712,3182.23258453744,2811.7168547495,"protein_coding","ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]"
"3560","GDAP1","chr8",74051719,74051854,136,"*",13179971,13179976,"R","chr8:74051719-74051854","5CpGs","135bp",0.497,0.179,0.318,0.24,0.216,0.0487,"M",-268759,"ENSG00000104381",3033.27831616801,-0.248347269140235,0.0596495428052118,1.80114673841155e-05,0.000129389008100531,2630.67415601797,2740.74823177111,3287.52433689767,3475.90355403275,2856.76998365052,3280.65682768712,3182.23258453744,2811.7168547495,"protein_coding","ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]"
"3561","GDAP2","chr1",118124318,118126275,1958,"*",1279263,1279275,"R","chr1:118124318-118126275","12CpGs","1957bp",0.342,0.0293,0.313,0.289,0.268,0.0179,"M",-194697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3562","GDF1","chr19",18850637,18850668,32,"*",25330580,25330583,"R","chr19:18850637-18850668","3CpGs","31bp",0.5,0.165,0.335,0.272,0.269,0.0361,"M",45490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3563","GDF1","chr19",18850738,18850822,85,"*",25330584,25330590,"R","chr19:18850738-18850822","6CpGs","84bp",0.667,0.305,0.362,0.335,0.333,0.00624,"M",45336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3564","GDF10","chr10",47275467,47276543,1077,"*",15559993,15560001,"R","chr10:47275467-47276543","8CpGs","1076bp",0.492,0.899,0.407,0.345,0.304,0.0394,"U",-23654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3565","GDI1","chrX",154433645,154434313,669,"*",29157118,29157131,"R","chrX:154433645-154434313","13CpGs","668bp",0.395,0.796,0.401,0.384,0.376,0.0021,"U",-2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3566","GDI1","chrX",154432773,154433434,662,"*",29157104,29157118,"R","chrX:154432773-154433434","14CpGs","661bp",0.353,0.749,0.396,0.335,0.323,0.02,"U",-3479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3567","GDNF","chr5",38134606,38134731,126,"*",8094601,8094604,"R","chr5:38134606-38134731","3CpGs","125bp",0.229,0.69,0.461,0.387,0.333,0.0497,"U",-294565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3568","GDNF","chr5",38214494,38214751,258,"*",8095327,8095331,"R","chr5:38214494-38214751","4CpGs","257bp",0.417,0.847,0.43,0.361,0.318,0.0395,"U",-374453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3569","GDNF","chr5",38196591,38196793,203,"*",8095212,8095218,"R","chr5:38196591-38196793","6CpGs","202bp",0.977,0.633,0.344,0.301,0.288,0.0135,"M",-356550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3570","GDNF","chr5",37837069,37837248,180,"*",8092298,8092311,"R","chr5:37837069-37837248","13CpGs","179bp",0.383,0.0345,0.348,0.315,0.312,0.00969,"M",2793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3571","GDPD4","chr11",77397726,77398844,1119,"*",17266639,17266644,"R","chr11:77397726-77398844","5CpGs","1118bp",0.45,0.802,0.352,0.304,0.278,0.024,"U",-96039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3572","GEMIN6","chr2",38751936,38752034,99,"*",2780549,2780552,"R","chr2:38751936-38752034","3CpGs","98bp",0.708,0.381,0.327,0.261,0.238,0.0354,"M",402,"ENSG00000152147",1354.15319361615,0.335921943587844,0.0832253016450498,1.89661040339695e-05,0.000135423815322179,1521.32697076599,1711.96966121033,1226.24657766283,1186.18825208966,1487.42793266382,1218.83902886254,1106.82234195902,1374.40478371499,"protein_coding","gem nuclear organelle associated protein 6 [Source:HGNC Symbol;Acc:HGNC:20044]"
"3573","GEMIN8","chrX",13981855,13982290,436,"*",28009438,28009442,"R","chrX:13981855-13982290","4CpGs","435bp",0.515,0.826,0.312,0.258,0.248,0.0255,"U",47603,"ENSG00000046647",930.9237374183,0.294338781819286,0.0782724301118951,7.59226635847312e-05,0.000477246523210282,962.766776389862,1110.8983677674,789.827721939665,839.011202697561,975.343965006277,833.698269742271,856.86417405724,1078.97942174613,"protein_coding","gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]"
"3574","GEMIN8","chrX",14058338,14060156,1819,"*",28010111,28010127,"R","chrX:14058338-14060156","16CpGs","1818bp",0.457,0.819,0.363,0.328,0.306,0.0155,"U",-28445,"ENSG00000046647",930.9237374183,0.294338781819286,0.0782724301118951,7.59226635847312e-05,0.000477246523210282,962.766776389862,1110.8983677674,789.827721939665,839.011202697561,975.343965006277,833.698269742271,856.86417405724,1078.97942174613,"protein_coding","gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]"
"3575","GEMIN8","chrX",14151175,14151953,779,"*",28010781,28010794,"R","chrX:14151175-14151953","13CpGs","778bp",0.915,0.549,0.366,0.344,0.334,0.00385,"M",-121282,"ENSG00000046647",930.9237374183,0.294338781819286,0.0782724301118951,7.59226635847312e-05,0.000477246523210282,962.766776389862,1110.8983677674,789.827721939665,839.011202697561,975.343965006277,833.698269742271,856.86417405724,1078.97942174613,"protein_coding","gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]"
"3576","GEMIN8","chrX",13977590,13979443,1854,"*",28009401,28009416,"R","chrX:13977590-13979443","15CpGs","1853bp",0.506,0.875,0.368,0.338,0.318,0.0119,"U",50450,"ENSG00000046647",930.9237374183,0.294338781819286,0.0782724301118951,7.59226635847312e-05,0.000477246523210282,962.766776389862,1110.8983677674,789.827721939665,839.011202697561,975.343965006277,833.698269742271,856.86417405724,1078.97942174613,"protein_coding","gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]"
"3577","GEMIN8","chrX",14200936,14201152,217,"*",28011016,28011019,"R","chrX:14200936-14201152","3CpGs","216bp",0.9,0.531,0.368,0.33,0.32,0.00924,"M",-171043,"ENSG00000046647",930.9237374183,0.294338781819286,0.0782724301118951,7.59226635847312e-05,0.000477246523210282,962.766776389862,1110.8983677674,789.827721939665,839.011202697561,975.343965006277,833.698269742271,856.86417405724,1078.97942174613,"protein_coding","gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]"
"3578","GET4","chr7",862509,862733,225,"*",10847234,10847237,"R","chr7:862509-862733","3CpGs","224bp",1,0.657,0.343,0.289,0.286,0.0267,"M",10559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3579","GET4","chr7",933009,933140,132,"*",10850074,10850081,"R","chr7:933009-933140","7CpGs","131bp",0.95,0.648,0.302,0.259,0.233,0.0298,"M",81059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3580","GFOD1","chr6",13501149,13501629,481,"*",9464876,9464880,"R","chr6:13501149-13501629","4CpGs","480bp",0.938,0.513,0.425,0.338,0.304,0.0383,"M",-13487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3581","GFPT1","chr2",69177602,69178736,1135,"*",3037062,3037096,"R","chr2:69177602-69178736","34CpGs","1134bp",0.631,0.935,0.304,0.274,0.26,0.0105,"U",208514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3582","GFRA2","chr8",21789534,21789568,35,"*",12701347,12701352,"R","chr8:21789534-21789568","5CpGs","34bp",0,0.713,0.713,0.629,0.625,0.0147,"U",22789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3583","GFRA2","chr8",21284553,21285673,1121,"*",12696069,12696077,"R","chr8:21284553-21285673","8CpGs","1120bp",0.18,0.517,0.337,0.311,0.3,0.00593,"U",526684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3584","GFRA2","chr8",21140370,21140971,602,"*",12694935,12694938,"R","chr8:21140370-21140971","3CpGs","601bp",0.829,0.477,0.351,0.315,0.3,0.0106,"M",671386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3585","GFRAL","chr6",55303721,55305446,1726,"*",9902568,9902576,"R","chr6:55303721-55305446","8CpGs","1725bp",0.597,0.0987,0.498,0.429,0.409,0.0166,"M",-22023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3586","GFRAL","chr6",55311994,55313746,1753,"*",9902630,9902639,"R","chr6:55311994-55313746","9CpGs","1752bp",0.624,0.274,0.351,0.327,0.314,0.00592,"M",-13723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3587","GFRAL","chr6",55241370,55242287,918,"*",9902230,9902241,"R","chr6:55241370-55242287","11CpGs","917bp",0.359,0.0545,0.304,0.278,0.264,0.00922,"M",-85182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3588","GFRAL","chr6",55144362,55144668,307,"*",9901615,9901624,"R","chr6:55144362-55144668","9CpGs","306bp",0.765,0.367,0.398,0.341,0.314,0.0222,"M",-182801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3589","GFRAL","chr6",55261507,55262881,1375,"*",9902329,9902338,"R","chr6:55261507-55262881","9CpGs","1374bp",0.892,0.537,0.354,0.333,0.318,0.00677,"M",-64588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3590","GFRAL","chr6",55284593,55286244,1652,"*",9902460,9902468,"R","chr6:55284593-55286244","8CpGs","1651bp",0.703,0.188,0.515,0.464,0.444,0.00923,"M",-41225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3591","GGTA1","chr9",121429515,121429708,194,"*",14709121,14709127,"R","chr9:121429515-121429708","6CpGs","193bp",0.393,0.976,0.583,0.506,0.451,0.0338,"U",70136,"ENSG00000204136",53.7055184319397,1.692084599404,0.292331050897556,1.44465202795236e-10,2.45063117983699e-09,77.7320350026417,85.5414554235677,16.4376216844884,41.3306011181065,88.5644112578459,14.6941253479621,26.5107147774616,78.8331828434439,"protein_coding","glycoprotein alpha-galactosyltransferase 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:4253]"
"3592","GGTLC1","chr20",24335737,24336779,1043,"*",26207918,26207928,"R","chr20:24335737-24336779","10CpGs","1042bp",0.807,0.251,0.556,0.529,0.519,0.00219,"M",-346958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3593","GGTLC1","chr20",23982330,23982512,183,"*",26204811,26204817,"R","chr20:23982330-23982512","6CpGs","182bp",0.0263,0.347,0.321,0.257,0.241,0.0323,"U",6267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3594","GGTLC2","chr22",22351102,22352299,1198,"*",27384156,27384167,"R","chr22:22351102-22352299","11CpGs","1197bp",0.0935,0.415,0.321,0.255,0.225,0.0433,"U",-292315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3595","GGTLC2","chr22",22255082,22255272,191,"*",27383122,27383126,"R","chr22:22255082-22255272","4CpGs","190bp",0.792,0.333,0.458,0.438,0.417,0.00816,"M",-389342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3596","GHSR","chr3",172448317,172449241,925,"*",5984531,5984591,"R","chr3:172448317-172449241","60CpGs","924bp",0.948,0.409,0.538,0.496,0.469,0.0103,"M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3597","GIGYF2","chr2",232634301,232634359,59,"*",4410780,4410787,"R","chr2:232634301-232634359","7CpGs","58bp",1,0.361,0.639,0.507,0.5,0.0442,"M",-62940,"ENSG00000204120",3188.4200129679,-0.442904321915738,0.0563376712749263,6.37169862345141e-16,1.97492279741185e-14,2697.30161459167,2578.78974283582,3679.56161407272,3748.68552141226,2698.94366102436,3574.53933464636,3751.26614101081,2778.27247414925,"protein_coding","GRB10 interacting GYF protein 2 [Source:HGNC Symbol;Acc:HGNC:11960]"
"3598","GIMD1","chr4",106476018,106477249,1232,"*",7119697,7119700,"R","chr4:106476018-106477249","3CpGs","1231bp",0.764,0.31,0.454,0.413,0.394,0.00904,"M",-107240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3599","GIMD1","chr4",106593338,106595326,1989,"*",7120482,7120489,"R","chr4:106593338-106595326","7CpGs","1988bp",0.621,0.95,0.329,0.27,0.257,0.0263,"U",-224560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3600","GINM1","chr6",149647319,149647393,75,"*",10567627,10567632,"R","chr6:149647319-149647393","5CpGs","74bp",0.574,0.141,0.433,0.393,0.39,0.00884,"M",81025,"ENSG00000055211",482.990578478547,-0.273296442404817,0.0957200813811683,0.00210834486081786,0.00895727954673559,388.660175013208,473.329386677074,534.222704745871,574.49535554168,464.395438518705,513.52101216036,513.171693192292,402.128861979184,"protein_coding","glycoprotein integral membrane 1 [Source:HGNC Symbol;Acc:HGNC:21074]"
"3601","GINS2","chr16",85593506,85594327,822,"*",22755867,22755894,"R","chr16:85593506-85594327","27CpGs","821bp",0.369,0.0361,0.333,0.275,0.25,0.0305,"M",95746,"ENSG00000131153",1259.38158068679,0.579754118644383,0.131116706024442,6.82535794893741e-07,6.49921030619251e-06,1465.80408862124,1937.79910352855,1047.07650130191,945.093078900701,1474.93807979413,849.939145126861,1095.46060705439,1258.94204116651,"protein_coding","GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]"
"3602","GINS3","chr16",58345609,58345901,293,"*",22441552,22441556,"R","chr16:58345609-58345901","4CpGs","292bp",0.237,0.638,0.401,0.314,0.276,0.0461,"U",-46493,"ENSG00000181938",556.422693197308,0.440125188237416,0.123634001047408,6.30688180332864e-05,0.000403966653437343,546.345160304281,813.214102893383,444.63766656541,479.434972970035,667.639407943761,439.277010402236,481.926922204569,578.906302294785,"protein_coding","GINS complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25851]"
"3603","GIPR","chr19",45659264,45659444,181,"*",25726843,25726846,"R","chr19:45659264-45659444","3CpGs","180bp",0.429,0.795,0.367,0.314,0.278,0.0379,"U",-8777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3604","GJA8","chr1",147918067,147918142,76,"*",1430269,1430273,"R","chr1:147918067-147918142","4CpGs","75bp",0.179,0.508,0.33,0.283,0.264,0.0195,"U",15272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3605","GJB1","chrX",71218029,71218247,219,"*",28534655,28534661,"R","chrX:71218029-71218247","6CpGs","218bp",0.598,0.204,0.394,0.328,0.303,0.0256,"M",5218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3606","GJB1","chrX",71153556,71153977,422,"*",28533626,28533639,"R","chrX:71153556-71153977","13CpGs","421bp",0.845,0.325,0.521,0.43,0.42,0.0286,"M",-58834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3607","GJB1","chrX",71148043,71148387,345,"*",28533534,28533546,"R","chrX:71148043-71148387","12CpGs","344bp",0.853,0.515,0.337,0.294,0.27,0.0225,"M",-64424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3608","GJB5","chr1",34202412,34203177,766,"*",573928,573936,"R","chr1:34202412-34203177","8CpGs","765bp",0.911,0.609,0.302,0.253,0.229,0.0298,"M",-551870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3609","GJB5","chr1",34211740,34212380,641,"*",574025,574030,"R","chr1:34211740-34212380","5CpGs","640bp",0.536,0.199,0.337,0.289,0.269,0.0197,"M",-542667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3610","GJB5","chr1",34472686,34473905,1220,"*",575946,575952,"R","chr1:34472686-34473905","6CpGs","1219bp",0.847,0.357,0.49,0.469,0.455,0.00354,"M",-281142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3611","GJB6","chr13",20414590,20415004,415,"*",19135783,19135800,"R","chr13:20414590-20415004","17CpGs","414bp",0.398,0.787,0.389,0.335,0.315,0.0177,"U",-182225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3612","GJB6","chr13",20390573,20390660,88,"*",19135334,19135339,"R","chr13:20390573-20390660","5CpGs","87bp",0.773,0.447,0.326,0.303,0.283,0.0145,"M",-158208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3613","GJC1","chr17",44832029,44832085,57,"*",23559234,23559237,"R","chr17:44832029-44832085","3CpGs","56bp",0.389,0.764,0.375,0.334,0.306,0.0225,"U",-1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3614","GJC2","chr1",228150797,228150993,197,"*",2145849,2145856,"R","chr1:228150797-228150993","7CpGs","196bp",0.0783,0.558,0.48,0.451,0.434,0.00536,"U",867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3615","GJE1","chr6",141566261,141566288,28,"*",10504925,10504931,"R","chr6:141566261-141566288","6CpGs","27bp",0.615,0.194,0.421,0.356,0.316,0.0357,"M",-566637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3616","GK","chrX",30744271,30745388,1118,"*",28149273,28149276,"R","chrX:30744271-30745388","3CpGs","1117bp",0.397,0.8,0.403,0.383,0.363,0.00981,"U",90912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3617","GK","chrX",30664348,30664861,514,"*",28148540,28148551,"R","chrX:30664348-30664861","11CpGs","513bp",0.102,0.849,0.747,0.607,0.584,0.0304,"U",10989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3618","GK","chrX",30673702,30674344,643,"*",28148647,28148650,"R","chrX:30673702-30674344","3CpGs","642bp",0.583,1,0.417,0.375,0.333,0.0377,"U",20343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3619","GK","chrX",30733961,30734554,594,"*",28149152,28149165,"R","chrX:30733961-30734554","13CpGs","593bp",0.336,0.975,0.639,0.566,0.515,0.0246,"U",80602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3620","GK","chrX",30658338,30659285,948,"*",28148471,28148488,"R","chrX:30658338-30659285","17CpGs","947bp",0.04,0.57,0.53,0.496,0.476,0.00638,"U",4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3621","GK","chrX",30636334,30636414,81,"*",28148112,28148118,"R","chrX:30636334-30636414","6CpGs","80bp",0.719,0.367,0.351,0.289,0.271,0.0265,"M",-16945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3622","GK","chrX",30753930,30754269,340,"*",28149374,28149399,"R","chrX:30753930-30754269","25CpGs","339bp",0.857,0.335,0.522,0.429,0.394,0.0287,"M",100571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3623","GK","chrX",30675650,30675876,227,"*",28148665,28148670,"R","chrX:30675650-30675876","5CpGs","226bp",1,0.408,0.592,0.521,0.517,0.0156,"M",22291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3624","GK","chrX",30802152,30802254,103,"*",28149832,28149835,"R","chrX:30802152-30802254","3CpGs","102bp",0.646,0.307,0.339,0.275,0.261,0.0304,"M",148793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3625","GK","chrX",30763650,30765066,1417,"*",28149515,28149533,"R","chrX:30763650-30765066","18CpGs","1416bp",0.692,0.212,0.48,0.374,0.347,0.0397,"M",110291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3626","GK","chrX",30700197,30702073,1877,"*",28148880,28148897,"R","chrX:30700197-30702073","17CpGs","1876bp",0.496,0.169,0.327,0.297,0.289,0.00746,"M",46838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3627","GLB1L2","chr11",134408352,134408722,371,"*",17752183,17752190,"R","chr11:134408352-134408722","7CpGs","370bp",0.456,0.905,0.448,0.394,0.344,0.0458,"U",76364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3628","GLI2","chr2",120882597,120882684,88,"*",3526949,3526954,"R","chr2:120882597-120882684","5CpGs","87bp",0.0385,0.414,0.376,0.343,0.323,0.0117,"U",146974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3629","GLI3","chr7",42336448,42336485,38,"*",11272014,11272017,"R","chr7:42336448-42336485","3CpGs","37bp",0.233,0.604,0.371,0.318,0.283,0.0337,"U",-72348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3630","GLOD4","chr17",850071,850195,125,"*",22889463,22889469,"R","chr17:850071-850195","6CpGs","124bp",0.376,0.711,0.335,0.297,0.263,0.0394,"U",-67777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
