"","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","annotated_genes","dist_to_TSS"
"719","chr12",52966124,52966141,18,"*",18277225,18277228,"R","chr12:52966124-52966141","3CpGs","17bp",0.562,1,0.438,0.423,0.409,0.00429,"U","KRT8, EIF4B","-16170, -40141"
"720","chr12",53269216,53269342,127,"*",18282472,18282478,"R","chr12:53269216-53269342","6CpGs","126bp",0.582,0.896,0.314,0.273,0.25,0.0226,"U","ESPL1, SP1","917, -110834"
"721","chr12",56806470,56806510,41,"*",18328671,18328675,"R","chr12:56806470-56806510","4CpGs","40bp",0.464,0.847,0.383,0.32,0.3,0.0232,"U","PRIM1, SDR9C7","-54096, 127898"
"722","chr12",56979580,56980084,505,"*",18329868,18329873,"R","chr12:56979580-56980084","5CpGs","504bp",0.628,0.95,0.322,0.273,0.268,0.0234,"U","RDH16, GPR182","-20206, -14408"
"723","chr12",57737517,57737524,8,"*",18342570,18342573,"R","chr12:57737517-57737524","3CpGs","7bp",0.492,0.809,0.317,0.298,0.286,0.00536,"U","TSPAN31","-489"
"724","chr12",58695472,58695482,11,"*",18350480,18350483,"R","chr12:58695472-58695482","3CpGs","10bp",0.586,0.917,0.331,0.297,0.289,0.00879,"U","CTDSP2, LRIG3","-848743, 225022"
"725","chr12",59187942,59187980,39,"*",18353709,18353713,"R","chr12:59187942-59187980","4CpGs","38bp",0.222,0.662,0.44,0.388,0.359,0.0188,"U","LRIG3, SLC16A7","-267438, -408049"
"726","chr12",63543421,63543451,31,"*",18379488,18379491,"R","chr12:63543421-63543451","3CpGs","30bp",0.553,0.955,0.402,0.357,0.354,0.0126,"U","AVPR1A, DPY19L2","-392220, 125488"
"727","chr12",64760035,64760203,169,"*",18391327,18391331,"R","chr12:64760035-64760203","4CpGs","168bp",0.136,0.578,0.442,0.415,0.408,0.00314,"U","TBC1D30, GNS","551, -604"
"728","chr12",65431140,65431963,824,"*",18396224,18396232,"R","chr12:65431140-65431963","8CpGs","823bp",0.205,0.568,0.363,0.29,0.278,0.0355,"U","MSRB3, HMGA2","152497, -392497"
"729","chr12",65510650,65510675,26,"*",18396685,18396689,"R","chr12:65510650-65510675","4CpGs","25bp",0.3,0.827,0.527,0.418,0.365,0.0465,"U","MSRB3, HMGA2","232007, -313785"
"730","chr12",65875746,65876990,1245,"*",18399902,18399907,"R","chr12:65875746-65876990","5CpGs","1244bp",0.0556,0.667,0.611,0.583,0.556,0.00816,"U","HMGA2, LLPH","51286, 253760"
"731","chr12",69879288,69879332,45,"*",18432306,18432309,"R","chr12:69879288-69879332","3CpGs","44bp",0.133,0.589,0.455,0.398,0.379,0.014,"U","MYRFL, CNOT2","77619, -363670"
"732","chr12",72933732,72935454,1723,"*",18452600,18452607,"R","chr12:72933732-72935454","7CpGs","1722bp",0.5,0.917,0.417,0.338,0.333,0.0377,"U","TRHDE","902433"
"733","chr12",73688987,73690618,1632,"*",18456204,18456210,"R","chr12:73688987-73690618","6CpGs","1631bp",0,0.375,0.375,0.375,0.375,0,"U","ATXN7L3B","-847217"
"734","chr12",78892552,78894299,1748,"*",18489105,18489112,"R","chr12:78892552-78894299","7CpGs","1747bp",0.489,1,0.511,0.489,0.467,0.00748,"U","SYT1, PAWR","28559, 796665"
"735","chr12",79641421,79641624,204,"*",18493920,18493926,"R","chr12:79641421-79641624","6CpGs","203bp",0.624,0.975,0.351,0.316,0.303,0.00941,"U","SYT1, PAWR","777428, 49340"
"736","chr12",79692646,79692701,56,"*",18494476,18494480,"R","chr12:79692646-79692701","4CpGs","55bp",0.261,0.599,0.338,0.291,0.283,0.0174,"U","PAWR","-1682"
"737","chr12",80189858,80190043,186,"*",18497940,18497943,"R","chr12:80189858-80190043","3CpGs","185bp",0.188,0.64,0.452,0.431,0.414,0.00573,"U","OTOGL, PTPRQ","90321, -215951"
"738","chr12",81945637,81945712,76,"*",18508130,18508135,"R","chr12:81945637-81945712","5CpGs","75bp",0.495,0.832,0.337,0.281,0.255,0.03,"U","PPFIA2, METTL25","-186084, -412816"
"739","chr12",86309563,86310421,859,"*",18532985,18532989,"R","chr12:86309563-86310421","4CpGs","858bp",0.6,0.938,0.338,0.278,0.275,0.0326,"U","NTS, MGAT4C","435268, 528577"
"740","chr12",86411425,86412176,752,"*",18533573,18533578,"R","chr12:86411425-86412176","5CpGs","751bp",0.429,0.815,0.386,0.346,0.344,0.0117,"U","NTS, MGAT4C","537130, 426822"
"741","chr12",99135542,99136256,715,"*",18628775,18628782,"R","chr12:99135542-99136256","7CpGs","714bp",0.324,0.757,0.433,0.367,0.339,0.0229,"U","IKBIP, GARIN6","-490429, -511497"
"742","chr12",99210967,99211636,670,"*",18629182,18629186,"R","chr12:99210967-99211636","4CpGs","669bp",0.134,0.45,0.316,0.247,0.224,0.0407,"U","IKBIP, GARIN6","-565854, -436117"
"743","chr12",99545197,99545812,616,"*",18630936,18630942,"R","chr12:99545197-99545812","6CpGs","615bp",0.31,0.917,0.607,0.516,0.5,0.0198,"U","IKBIP, GARIN6","-900084, -101941"
"744","chr12",99598634,99600348,1715,"*",18631202,18631207,"R","chr12:99598634-99600348","5CpGs","1714bp",0.528,0.849,0.322,0.251,0.234,0.0396,"U","IKBIP, GARIN6","-953521, -47405"
"745","chr12",100698152,100698994,843,"*",18640191,18640196,"R","chr12:100698152-100698994","5CpGs","842bp",0.0625,0.516,0.454,0.371,0.337,0.032,"U","GAS2L3, UTP20","124469, -581111"
"746","chr12",101022981,101023533,553,"*",18642348,18642354,"R","chr12:101022981-101023533","6CpGs","552bp",0,0.372,0.372,0.354,0.353,0.00265,"U","GAS2L3, UTP20","449298, -256572"
"747","chr12",101952427,101952632,206,"*",18651034,18651040,"R","chr12:101952427-101952632","6CpGs","205bp",0.28,0.633,0.353,0.295,0.267,0.0301,"U","DRAM1, WASHC3","74847, 109517"
"748","chr12",102560810,102560865,56,"*",18654790,18654795,"R","chr12:102560810-102560865","5CpGs","55bp",0.365,0.7,0.335,0.264,0.238,0.0393,"U","IGF1, ASCL1","-79066, -396809"
"749","chr12",103625807,103626620,814,"*",18661793,18661801,"R","chr12:103625807-103626620","8CpGs","813bp",0.577,0.902,0.325,0.288,0.283,0.012,"U","STAB2, NT5DC3","38534, 214614"
"750","chr12",105519555,105519569,15,"*",18681280,18681283,"R","chr12:105519555-105519569","3CpGs","14bp",0.267,0.8,0.533,0.5,0.467,0.0153,"U","APPL2, NUAK1","-283352, 619385"
"751","chr12",105567524,105567790,267,"*",18681632,18681637,"R","chr12:105567524-105567790","5CpGs","266bp",0.339,0.864,0.524,0.437,0.39,0.0346,"U","APPL2, NUAK1","-331321, 571164"
"752","chr12",105774178,105775489,1312,"*",18683076,18683087,"R","chr12:105774178-105775489","11CpGs","1311bp",0.533,0.875,0.342,0.325,0.308,0.00938,"U","APPL2, NUAK1","-537975, 363465"
"753","chr12",105792931,105793680,750,"*",18683228,18683235,"R","chr12:105792931-105793680","7CpGs","749bp",0.292,0.85,0.558,0.522,0.5,0.0064,"U","APPL2, NUAK1","-556728, 345274"
"754","chr12",105875546,105876492,947,"*",18683807,18683812,"R","chr12:105875546-105876492","5CpGs","946bp",0.268,0.71,0.442,0.416,0.407,0.00318,"U","APPL2, NUAK1","-639343, 262462"
"755","chr12",109407923,109407974,52,"*",18720700,18720703,"R","chr12:109407923-109407974","3CpGs","51bp",0.118,0.55,0.432,0.381,0.375,0.0134,"U","MYO1H, UBE3B","60023, -69428"
"756","chr12",109723712,109723835,124,"*",18725645,18725652,"R","chr12:109723712-109723835","7CpGs","123bp",0.423,0.878,0.455,0.38,0.34,0.0338,"U","FAM222A, TRPV4","9887, 109571"
"757","chr12",113426087,113426183,97,"*",18778538,18778543,"R","chr12:113426087-113426183","5CpGs","96bp",0.657,0.983,0.326,0.282,0.252,0.0317,"U","SDS","118"
"758","chr12",114062828,114062868,41,"*",18787253,18787257,"R","chr12:114062828-114062868","4CpGs","40bp",0.163,0.5,0.338,0.319,0.3,0.0121,"U","RBM19, TBX5","-96503, 345574"
"759","chr12",114619110,114619447,338,"*",18792585,18792588,"R","chr12:114619110-114619447","3CpGs","337bp",0.381,0.822,0.441,0.367,0.341,0.025,"U","TBX5, TBX3","-210668, 64728"
"760","chr12",116508729,116509003,275,"*",18812124,18812138,"R","chr12:116508729-116509003","14CpGs","274bp",0.259,0.725,0.465,0.392,0.37,0.0212,"U","MED13L, MAP1LC3B2","-231036, -41739"
"761","chr12",116876119,116876248,130,"*",18817363,18817367,"R","chr12:116876119-116876248","4CpGs","129bp",0.368,0.909,0.541,0.424,0.39,0.0384,"U","SPRING1, HRK","-138049, 5193"
"762","chr12",116876344,116876606,263,"*",18817369,18817378,"R","chr12:116876344-116876606","9CpGs","262bp",0.539,0.933,0.395,0.359,0.349,0.00694,"U","SPRING1, HRK","-138274, 4835"
"763","chr12",117818716,117819622,907,"*",18829561,18829569,"R","chr12:117818716-117819622","8CpGs","906bp",0.348,0.833,0.485,0.398,0.386,0.0292,"U","NOS1, KSR2","-366546, 149368"
"764","chr12",117861175,117861377,203,"*",18830112,18830115,"R","chr12:117861175-117861377","3CpGs","202bp",0.354,0.9,0.546,0.44,0.425,0.0333,"U","NOS1, KSR2","-409005, 107613"
"765","chr12",118603359,118603546,188,"*",18839586,18839591,"R","chr12:118603359-118603546","5CpGs","187bp",0.144,0.464,0.321,0.282,0.275,0.0132,"U","TAOK3, SRRM4","-230452, -377995"
"766","chr12",118603864,118604201,338,"*",18839591,18839594,"R","chr12:118603864-118604201","3CpGs","337bp",0.5,0.861,0.361,0.335,0.333,0.00587,"U","TAOK3, SRRM4","-230957, -377340"
"767","chr12",119393917,119394330,414,"*",18846255,18846260,"R","chr12:119393917-119394330","5CpGs","413bp",0.599,0.95,0.351,0.281,0.257,0.034,"U","CCDC60, TMEM233","59205, -199444"
"768","chr12",119400270,119400296,27,"*",18846354,18846357,"R","chr12:119400270-119400296","3CpGs","26bp",0.171,0.5,0.329,0.314,0.3,0.00748,"U","CCDC60, TMEM233","65558, -193478"
"769","chr12",125182255,125182481,227,"*",18952646,18952650,"R","chr12:125182255-125182481","4CpGs","226bp",0.0945,0.481,0.387,0.314,0.299,0.0299,"U","TMEM132B","-3905"
"770","chr12",127295181,127295539,359,"*",18971880,18971886,"R","chr12:127295181-127295539","6CpGs","358bp",0.231,0.708,0.477,0.405,0.37,0.0251,"U","LOC107984449, TMEM132C","148646, -971631"
"771","chr12",127459990,127460609,620,"*",18973534,18973544,"R","chr12:127459990-127460609","10CpGs","619bp",0.0647,0.367,0.302,0.253,0.233,0.0249,"U","LOC107984449, TMEM132C","313455, -806561"
"772","chr12",127484425,127484869,445,"*",18973764,18973772,"R","chr12:127484425-127484869","8CpGs","444bp",0.275,0.608,0.333,0.313,0.3,0.00612,"U","LOC107984449, TMEM132C","337890, -782301"
"773","chr12",127806761,127807069,309,"*",18977030,18977038,"R","chr12:127806761-127807069","8CpGs","308bp",0.611,0.957,0.347,0.273,0.239,0.047,"U","LOC107984449, TMEM132C","660226, -460101"
"774","chr12",128089724,128090350,627,"*",18980039,18980048,"R","chr12:128089724-128090350","9CpGs","626bp",0.658,1,0.342,0.318,0.294,0.0187,"U","LOC107984449, TMEM132C","943189, -176820"
"775","chr12",128135156,128135825,670,"*",18980566,18980579,"R","chr12:128135156-128135825","13CpGs","669bp",0.208,0.678,0.47,0.438,0.417,0.00836,"U","LOC107984449, TMEM132C","988621, -131345"
"776","chr12",128137892,128138844,953,"*",18980607,18980615,"R","chr12:128137892-128138844","8CpGs","952bp",0.147,0.464,0.317,0.263,0.227,0.0491,"U","LOC107984449, TMEM132C","991357, -128326"
"777","chr12",128266811,128266881,71,"*",18981886,18981894,"R","chr12:128266811-128266881","8CpGs","70bp",0.0885,0.542,0.453,0.408,0.4,0.00898,"U","TMEM132C","-289"
"778","chr12",128344132,128344219,88,"*",18982877,18982881,"R","chr12:128344132-128344219","4CpGs","87bp",0.186,0.582,0.396,0.336,0.316,0.0197,"U","TMEM132C, SLC15A4","76962, 479739"
"779","chr12",128902051,128902378,328,"*",18990790,18990798,"R","chr12:128902051-128902378","8CpGs","327bp",0.593,0.962,0.368,0.321,0.308,0.0142,"U","GLT1D1","48624"
"780","chr12",129066854,129067104,251,"*",18993393,18993396,"R","chr12:129066854-129067104","3CpGs","250bp",0,0.359,0.359,0.335,0.333,0.00506,"U","GLT1D1, TMEM132D","213427, 836921"
"781","chr12",129930342,129930364,23,"*",19003524,19003528,"R","chr12:129930342-129930364","4CpGs","22bp",0,0.703,0.703,0.7,0.7,1.75e-05,"U","TMEM132D, FZD10","-26317, -232095"
"782","chr12",131634219,131634587,369,"*",19034093,19034101,"R","chr12:131634219-131634587","8CpGs","368bp",0.608,0.913,0.305,0.289,0.285,0.00243,"U","ADGRD1, SFSWAP","680312, -76494"
"783","chr12",131827633,131827718,86,"*",19038124,19038131,"R","chr12:131827633-131827718","7CpGs","85bp",0.464,0.909,0.445,0.341,0.318,0.045,"U","MMP17","-675"
"784","chr12",132203606,132203648,43,"*",19048834,19048839,"R","chr12:132203606-132203648","5CpGs","42bp",0.0263,0.357,0.331,0.25,0.233,0.0491,"U","EP400, FBRSL1","253664, -285903"
"785","chr12",132210822,132210905,84,"*",19049127,19049137,"R","chr12:132210822-132210905","10CpGs","83bp",0.487,0.818,0.331,0.283,0.274,0.0183,"U","EP400, FBRSL1","260880, -278646"
"786","chr12",132324262,132324365,104,"*",19053012,19053030,"R","chr12:132324262-132324365","18CpGs","103bp",0.224,0.892,0.668,0.515,0.459,0.0459,"U","EP400, FBRSL1","374320, -165186"
"787","chr12",132403161,132403241,81,"*",19055772,19055776,"R","chr12:132403161-132403241","4CpGs","80bp",0.0417,0.407,0.365,0.323,0.301,0.0163,"U","EP400, FBRSL1","453219, -86310"
"788","chr12",46494,46743,250,"*",17761955,17761960,"R","chr12:46494-46743","5CpGs","249bp",0.77,0.399,0.37,0.305,0.271,0.0367,"M","SLC6A12","167827"
"789","chr12",1630652,1630727,76,"*",17784427,17784433,"R","chr12:1630652-1630727","6CpGs","75bp",0.472,0.11,0.362,0.317,0.302,0.0139,"M","FBXL14","-36071"
"790","chr12",1928006,1928399,394,"*",17789138,17789151,"R","chr12:1928006-1928399","13CpGs","393bp",0.857,0.511,0.346,0.313,0.3,0.00885,"M","FBXL14, FKBP4","-333425, -866571"
"791","chr12",3068431,3068787,357,"*",17806231,17806234,"R","chr12:3068431-3068787","3CpGs","356bp",0.846,0.5,0.346,0.319,0.292,0.0237,"M","TEAD4, TSPAN9","109101, -8568"
"792","chr12",6155554,6155579,26,"*",17843571,17843574,"R","chr12:6155554-6155579","3CpGs","25bp",0.833,0.402,0.432,0.406,0.405,0.00383,"M","VWF, CD9","-30784, -44136"
"793","chr12",6201050,6201378,329,"*",17844562,17844581,"R","chr12:6201050-6201378","19CpGs","328bp",0.359,0.0261,0.333,0.29,0.257,0.0366,"M","CD9, PLEKHG6","1335, -109058"
"794","chr12",8338531,8338604,74,"*",17877611,17877614,"R","chr12:8338531-8338604","3CpGs","73bp",0.464,0.05,0.414,0.349,0.329,0.0213,"M","FAM90A1, CLEC6A","-110913, -117358"
"795","chr12",8423079,8423104,26,"*",17878840,17878843,"R","chr12:8423079-8423104","3CpGs","25bp",0.422,0.0714,0.351,0.272,0.257,0.0426,"M","FAM90A1, CLEC6A","-195461, -32858"
"796","chr12",9215993,9217131,1139,"*",17887529,17887534,"R","chr12:9215993-9217131","5CpGs","1138bp",0.936,0.625,0.311,0.311,0.31,1.05e-05,"M","PZP, LOC124903067","-7598, 50982"
"797","chr12",10748334,10748596,263,"*",17901913,17901917,"R","chr12:10748334-10748596","4CpGs","262bp",0.804,0.113,0.69,0.635,0.607,0.00779,"M","YBX3, ETV6","-25011, -901078"
"798","chr12",13297734,13298111,378,"*",17927714,17927721,"R","chr12:13297734-13298111","7CpGs","377bp",0.744,0.241,0.503,0.403,0.355,0.0423,"M","EMP1, GRIN2B","101011, 683891"
"799","chr12",14200406,14200956,551,"*",17934273,17934277,"R","chr12:14200406-14200956","4CpGs","550bp",0.974,0.478,0.496,0.409,0.392,0.0263,"M","GRIN2B, ATF7IP","-218404, -164720"
"800","chr12",21109018,21109710,693,"*",17983374,17983379,"R","chr12:21109018-21109710","5CpGs","692bp",0.962,0.154,0.808,0.769,0.749,0.00288,"M","SLCO1B1, IAPP","61839, -245249"
"801","chr12",21314852,21316780,1929,"*",17984455,17984470,"R","chr12:21314852-21316780","15CpGs","1928bp",0.968,0.603,0.365,0.346,0.329,0.0078,"M","SLCO1B1, IAPP","267673, -38179"
"802","chr12",21329064,21330938,1875,"*",17984521,17984525,"R","chr12:21329064-21330938","4CpGs","1874bp",0.55,0.182,0.368,0.316,0.289,0.0236,"M","SLCO1B1, IAPP","281885, -24021"
"803","chr12",21335246,21336692,1447,"*",17984535,17984546,"R","chr12:21335246-21336692","11CpGs","1446bp",0.599,0,0.599,0.577,0.556,0.00526,"M","SLCO1B1, IAPP","288067, -18267"
"804","chr12",21599600,21600942,1343,"*",17986510,17986522,"R","chr12:21599600-21600942","12CpGs","1342bp",0.862,0.205,0.657,0.561,0.527,0.019,"M","SPX, GYS2","73304, 56856"
"805","chr12",21892901,21894807,1907,"*",17988674,17988689,"R","chr12:21892901-21894807","15CpGs","1906bp",0.935,0.615,0.319,0.248,0.236,0.0426,"M","KCNJ8, ABCC9","-117301, 47736"
"806","chr12",21920806,21921682,877,"*",17988843,17988849,"R","chr12:21920806-21921682","6CpGs","876bp",0.82,0.417,0.403,0.314,0.3,0.0423,"M","KCNJ8, ABCC9","-145206, 20861"
"807","chr12",22109746,22110107,362,"*",17990226,17990232,"R","chr12:22109746-22110107","6CpGs","361bp",0.725,0.362,0.363,0.29,0.285,0.0411,"M","CMAS, ST8SIA1","63528, 226093"
"808","chr12",30425451,30426655,1205,"*",18051946,18051950,"R","chr12:30425451-30426655","4CpGs","1204bp",0.808,0.333,0.475,0.421,0.367,0.0483,"M","TMTC1, IPO8","-640692, 269214"
"809","chr12",31958581,31958752,172,"*",18069211,18069215,"R","chr12:31958581-31958752","4CpGs","171bp",0.774,0.388,0.386,0.372,0.369,0.00117,"M","RESF1","-618"
"810","chr12",33886291,33886335,45,"*",18086456,18086459,"R","chr12:33886291-33886335","3CpGs","44bp",0.812,0.0871,0.725,0.672,0.623,0.0176,"M","SYT10, ALG10","-446472, -136133"
"811","chr12",37401483,37402385,903,"*",18134215,18134224,"R","chr12:37401483-37402385","9CpGs","902bp",0.823,0.5,0.323,0.312,0.3,0.00506,"M","ALG10B","-914377"
"812","chr12",38013464,38015337,1874,"*",18138467,18138475,"R","chr12:38013464-38015337","8CpGs","1873bp",0.432,0.0976,0.335,0.312,0.291,0.0148,"M","ALG10B","-301425"
"813","chr12",38056368,38056436,69,"*",18138807,18138810,"R","chr12:38056368-38056436","3CpGs","68bp",0.472,0.0556,0.417,0.35,0.333,0.0215,"M","ALG10B","-260326"
"814","chr12",38078464,38078834,371,"*",18138990,18138998,"R","chr12:38078464-38078834","8CpGs","370bp",0.433,0.0893,0.344,0.304,0.271,0.0363,"M","ALG10B","-237928"
"815","chr12",38140500,38140673,174,"*",18139583,18139587,"R","chr12:38140500-38140673","4CpGs","173bp",0.508,0.155,0.353,0.286,0.252,0.0409,"M","ALG10B","-176089"
"816","chr12",38158550,38158664,115,"*",18140126,18140132,"R","chr12:38158550-38158664","6CpGs","114bp",0.774,0.226,0.548,0.461,0.429,0.0228,"M","ALG10B","-158098"
"817","chr12",38906619,38907153,535,"*",18144560,18144591,"R","chr12:38906619-38907153","31CpGs","534bp",0.832,0.334,0.498,0.413,0.358,0.0469,"M","CPNE8","277"
"818","chr12",44102888,44103960,1073,"*",18179761,18179765,"R","chr12:44102888-44103960","4CpGs","1072bp",1,0.682,0.318,0.275,0.273,0.0198,"M","TMEM117, NELL2","266921, 817888"
"819","chr12",46295310,46295922,613,"*",18194891,18194894,"R","chr12:46295310-46295922","3CpGs","612bp",0.425,0.0833,0.342,0.313,0.3,0.00764,"M","SLC38A1, SLC38A2","-25359, 76851"
"820","chr12",48357534,48359209,1676,"*",18213015,18213022,"R","chr12:48357534-48359209","7CpGs","1675bp",0.969,0.587,0.382,0.343,0.326,0.0106,"M","ZNF641, ANP32D","-6120, -113350"
"821","chr12",48625716,48625789,74,"*",18215054,18215059,"R","chr12:48625716-48625789","5CpGs","73bp",0.396,0.0682,0.328,0.247,0.227,0.0492,"M","LALBA, KANSL2","-55650, 56449"
"822","chr12",52385491,52385576,86,"*",18270374,18270379,"R","chr12:52385491-52385576","5CpGs","85bp",0.9,0.385,0.515,0.415,0.363,0.0448,"M","KRT84","76"
"823","chr12",52406081,52406158,78,"*",18270615,18270620,"R","chr12:52406081-52406158","5CpGs","77bp",0.746,0.38,0.366,0.335,0.308,0.0211,"M","KRT82","177"
"824","chr12",52711657,52712002,346,"*",18273845,18273849,"R","chr12:52711657-52712002","4CpGs","345bp",0.45,0.0885,0.362,0.326,0.3,0.0196,"M","KRT77, KRT76","-8133, 65343"
"825","chr12",56798433,56799193,761,"*",18328610,18328613,"R","chr12:56798433-56799193","3CpGs","760bp",0.825,0.414,0.411,0.36,0.321,0.0329,"M","PRIM1, SDR9C7","-46059, 135215"
"826","chr12",60676917,60676981,65,"*",18361448,18361453,"R","chr12:60676917-60676981","5CpGs","64bp",0.806,0.0714,0.734,0.625,0.579,0.0216,"M","LOC100996696","864815"
"827","chr12",61459037,61459233,197,"*",18365394,18365397,"R","chr12:61459037-61459233","3CpGs","196bp",0.792,0.41,0.382,0.328,0.306,0.0196,"M","USP15","-801105"
"828","chr12",64901847,64902069,223,"*",18392752,18392762,"R","chr12:64901847-64902069","10CpGs","222bp",0.89,0.569,0.32,0.294,0.279,0.00885,"M","GNS, WIF1","-142416, 219236"
"829","chr12",65094537,65096377,1841,"*",18393851,18393859,"R","chr12:65094537-65096377","8CpGs","1840bp",0.375,0.0294,0.346,0.297,0.275,0.0211,"M","GNS, WIF1","-335106, 24928"
"830","chr12",65813178,65813307,130,"*",18399133,18399139,"R","chr12:65813178-65813307","6CpGs","129bp",0.615,0.303,0.312,0.257,0.229,0.0354,"M","MSRB3, HMGA2","534535, -11153"
"831","chr12",66444621,66444660,40,"*",18404811,18404814,"R","chr12:66444621-66444660","3CpGs","39bp",0.823,0.5,0.323,0.312,0.3,0.00506,"M","HELB, GRIP1","142128, 624502"
"832","chr12",66539093,66540825,1733,"*",18405403,18405410,"R","chr12:66539093-66540825","7CpGs","1732bp",0.35,0.0417,0.308,0.244,0.217,0.0418,"M","HELB, GRIP1","236600, 528337"
"833","chr12",67243864,67244262,399,"*",18409683,18409687,"R","chr12:67243864-67244262","4CpGs","398bp",0.71,0.315,0.395,0.312,0.306,0.0431,"M","GRIP1, CAND1","-174702, -25096"
"834","chr12",72549546,72549953,408,"*",18450436,18450440,"R","chr12:72549546-72549953","4CpGs","407bp",0.586,0.216,0.37,0.33,0.321,0.00984,"M","TRHDE","518247"
"835","chr12",74749656,74749825,170,"*",18461969,18461973,"R","chr12:74749656-74749825","4CpGs","169bp",0.85,0.243,0.607,0.541,0.514,0.0116,"M","ATXN7L3B, KCNC2","211821, 460014"
"836","chr12",75124822,75124833,12,"*",18463862,18463866,"R","chr12:75124822-75124833","4CpGs","11bp",1,0.562,0.438,0.378,0.375,0.0198,"M","ATXN7L3B, KCNC2","586987, 85006"
"837","chr12",79497297,79499034,1738,"*",18492614,18492627,"R","chr12:79497297-79499034","13CpGs","1737bp",0.862,0.444,0.418,0.34,0.333,0.0349,"M","SYT1, PAWR","633304, 191930"
"838","chr12",79743718,79745480,1763,"*",18494919,18494935,"R","chr12:79743718-79745480","16CpGs","1762bp",0.425,0.0481,0.377,0.324,0.316,0.017,"M","PAWR, PPP1R12A","-52754, 189980"
"839","chr12",80002513,80002560,48,"*",18496801,18496805,"R","chr12:80002513-80002560","4CpGs","47bp",1,0.461,0.539,0.481,0.478,0.0125,"M","PPP1R12A, OTOGL","-67053, -96977"
"840","chr12",81115327,81115952,626,"*",18503785,18503790,"R","chr12:81115327-81115952","5CpGs","625bp",0.695,0.114,0.582,0.519,0.477,0.0209,"M","LIN7A, PPFIA2","-177393, 643601"
"841","chr12",81752822,81753570,749,"*",18507054,18507064,"R","chr12:81752822-81753570","10CpGs","748bp",0.867,0.457,0.41,0.38,0.358,0.0109,"M","LIN7A, PPFIA2","-814888, 5983"
"842","chr12",83273451,83273959,509,"*",18516539,18516542,"R","chr12:83273451-83273959","3CpGs","508bp",0.897,0.527,0.37,0.281,0.257,0.0469,"M","TMTC2","586571"
"843","chr12",87839188,87839316,129,"*",18540778,18540782,"R","chr12:87839188-87839316","4CpGs","128bp",0.944,0.59,0.354,0.309,0.28,0.0263,"M","MGAT4C, RLIG1","-1000190, -194530"
"844","chr12",98883751,98884492,742,"*",18626881,18626887,"R","chr12:98883751-98884492","6CpGs","741bp",0.838,0.265,0.573,0.513,0.492,0.00972,"M","IKBIP, GARIN6","-238638, -763261"
"845","chr12",99021121,99022575,1455,"*",18627961,18627970,"R","chr12:99021121-99022575","9CpGs","1454bp",0.897,0.592,0.306,0.23,0.207,0.0497,"M","IKBIP, GARIN6","-376008, -625178"
"846","chr12",99284506,99285494,989,"*",18629609,18629615,"R","chr12:99284506-99285494","6CpGs","988bp",0.81,0.405,0.405,0.321,0.302,0.0354,"M","IKBIP, GARIN6","-639393, -362259"
"847","chr12",99431120,99432599,1480,"*",18630398,18630408,"R","chr12:99431120-99432599","10CpGs","1479bp",0.838,0.5,0.338,0.308,0.304,0.00766,"M","IKBIP, GARIN6","-786007, -215154"
"848","chr12",99529877,99530491,615,"*",18630856,18630860,"R","chr12:99529877-99530491","4CpGs","614bp",0.821,0,0.821,0.732,0.643,0.0442,"M","IKBIP, GARIN6","-884764, -117262"
"849","chr12",100364553,100365123,571,"*",18637314,18637317,"R","chr12:100364553-100365123","3CpGs","570bp",1,0.558,0.442,0.429,0.429,0.000864,"M","SLC17A8, NR1H4","7479, -108585"
"850","chr12",100717540,100717688,149,"*",18640452,18640472,"R","chr12:100717540-100717688","20CpGs","148bp",0.862,0.363,0.499,0.45,0.441,0.00859,"M","GAS2L3, UTP20","143857, -562417"
"851","chr12",100939379,100941369,1991,"*",18641827,18641837,"R","chr12:100939379-100941369","10CpGs","1990bp",0.432,0.05,0.382,0.3,0.264,0.0457,"M","GAS2L3, UTP20","365696, -338736"
"852","chr12",102856520,102856614,95,"*",18656607,18656612,"R","chr12:102856520-102856614","5CpGs","94bp",0.536,0.198,0.338,0.304,0.286,0.0132,"M","IGF1, ASCL1","-374776, -101060"
"853","chr12",103571446,103571670,225,"*",18661359,18661373,"R","chr12:103571446-103571670","14CpGs","224bp",0.765,0.147,0.618,0.565,0.541,0.00789,"M","C12orf42","-109"
"854","chr12",104050883,104050940,58,"*",18665979,18665983,"R","chr12:104050883-104050940","4CpGs","57bp",0.923,0.389,0.534,0.443,0.402,0.0301,"M","UQCC6, HCFC2","-85175, -13591"
"855","chr12",105569967,105570447,481,"*",18681644,18681648,"R","chr12:105569967-105570447","4CpGs","480bp",0.708,0.25,0.458,0.358,0.333,0.0389,"M","APPL2, NUAK1","-333764, 568507"
"856","chr12",105827136,105827452,317,"*",18683467,18683473,"R","chr12:105827136-105827452","6CpGs","316bp",0.55,0.19,0.36,0.289,0.262,0.035,"M","APPL2, NUAK1","-590933, 311502"
"857","chr12",105994256,105995035,780,"*",18684586,18684595,"R","chr12:105994256-105995035","9CpGs","779bp",0.871,0.121,0.749,0.727,0.724,0.000847,"M","APPL2, NUAK1","-758053, 143919"
