"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","segment_id","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"4948","ARRDC3","chr5",90728049,90729461,1413,"*",8521700,8521710,"R","chr5:90728049-90729461","10CpGs","1412bp",0.111,0.75,0.639,0.549,0.492,0.0318,"U","chr5:90728049-90729461",653856,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4949","ARRDC3","chr5",90966120,90967996,1877,"*",8523256,8523274,"R","chr5:90966120-90967996","18CpGs","1876bp",0.152,0.765,0.613,0.485,0.446,0.036,"U","chr5:90966120-90967996",415321,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4950","ARRDC3","chr5",92365200,92367168,1969,"*",8531786,8531800,"R","chr5:92365200-92367168","14CpGs","1968bp",0.183,0.829,0.646,0.567,0.514,0.0263,"U","chr5:92365200-92367168",-981883,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4951","ARRDC3","chr5",90847820,90847871,52,"*",8522543,8522546,"R","chr5:90847820-90847871","3CpGs","51bp",0.442,0.955,0.512,0.426,0.381,0.0338,"U","chr5:90847820-90847871",535446,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4952","ARRDC3","chr5",91154823,91155971,1149,"*",8524442,8524450,"R","chr5:91154823-91155971","8CpGs","1148bp",0.0208,0.482,0.461,0.434,0.423,0.00352,"U","chr5:91154823-91155971",227346,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4953","ARRDC3","chr5",91036516,91036710,195,"*",8523702,8523712,"R","chr5:91036516-91036710","10CpGs","194bp",0.496,0.95,0.454,0.372,0.336,0.0328,"U","chr5:91036516-91036710",346607,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4954","ARRDC3","chr5",90735131,90737084,1954,"*",8521747,8521758,"R","chr5:90735131-90737084","11CpGs","1953bp",0.0877,0.567,0.479,0.378,0.367,0.0415,"U","chr5:90735131-90737084",646233,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4955","ARRDC3","chr5",92046582,92047887,1306,"*",8530198,8530205,"R","chr5:92046582-92047887","7CpGs","1305bp",0.0794,0.7,0.621,0.579,0.567,0.00396,"U","chr5:92046582-92047887",-663265,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4956","ARRDC3","chr5",90720953,90721365,413,"*",8521639,8521649,"R","chr5:90720953-90721365","10CpGs","412bp",0.101,0.721,0.62,0.515,0.504,0.0279,"U","chr5:90720953-90721365",661952,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4957","ARRDC3","chr5",90817100,90818022,923,"*",8522304,8522310,"R","chr5:90817100-90818022","6CpGs","922bp",0.0185,0.444,0.426,0.364,0.352,0.0184,"U","chr5:90817100-90818022",565295,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"4958","ARRDC3","chr5",90814144,90816116,1973,"*",8522284,8522300,"R","chr5:90814144-90816116","16CpGs","1972bp",0.0441,0.399,0.355,0.285,0.274,0.0342,"U","chr5:90814144-90816116",567201,"ENSG00000113369",2421.69858077435,-0.923505870750279,0.168318415830398,7.48486782057807e-09,1.06363521865349e-07,1724.82643005814,1423.32868636194,2886.57632739585,4255.69078200955,2430.31866418235,2821.24736586796,2025.2686704811,2222.89158098645,1453.11152399301,3000.67875162869,4040.5063783158,1673.67993063767,1654.3932446985,1834.98360650973,1302.88378079256,3996.79156847026,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"5068","AS3MT","chr10",102897240,102897253,14,"*",16060942,16060945,"R","chr10:102897240-102897253","3CpGs","13bp",0.296,0.875,0.579,0.557,0.552,0.00124,"U","chr10:102897240-102897253",27770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5177","ASNS","chr7",97830686,97830699,14,"*",11811528,11811531,"R","chr7:97830686-97830699","3CpGs","13bp",0.348,1,0.652,0.612,0.571,0.0151,"U","chr7:97830686-97830699",142286,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5178","ASNS","chr7",97971035,97971321,287,"*",11813442,11813445,"R","chr7:97971035-97971321","3CpGs","286bp",0.286,0.854,0.568,0.534,0.532,0.00385,"U","chr7:97971035-97971321",1664,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5179","ASNS","chr7",97922651,97922987,337,"*",11812463,11812467,"R","chr7:97922651-97922987","4CpGs","336bp",0.481,1,0.519,0.478,0.438,0.0237,"U","chr7:97922651-97922987",49998,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5180","ASNS","chr7",97790830,97792188,1359,"*",11811263,11811279,"R","chr7:97790830-97792188","16CpGs","1358bp",0.14,0.595,0.455,0.361,0.352,0.0412,"U","chr7:97790830-97792188",180797,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5181","ASNS","chr7",97821895,97823890,1996,"*",11811480,11811489,"R","chr7:97821895-97823890","9CpGs","1995bp",0.0161,0.572,0.556,0.459,0.446,0.0283,"U","chr7:97821895-97823890",149095,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5182","ASNS","chr7",97778329,97778659,331,"*",11811148,11811157,"R","chr7:97778329-97778659","9CpGs","330bp",0.156,0.713,0.557,0.432,0.385,0.0445,"U","chr7:97778329-97778659",194326,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5183","ASNS","chr7",97808541,97810441,1901,"*",11811379,11811397,"R","chr7:97808541-97810441","18CpGs","1900bp",0.0383,0.776,0.738,0.642,0.627,0.0154,"U","chr7:97808541-97810441",162544,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5184","ASNS","chr7",97948628,97949934,1307,"*",11812955,11812980,"R","chr7:97948628-97949934","25CpGs","1306bp",0.168,0.741,0.573,0.46,0.451,0.0388,"U","chr7:97948628-97949934",23051,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5185","ASNS","chr7",97787587,97789470,1884,"*",11811250,11811262,"R","chr7:97787587-97789470","12CpGs","1883bp",0.0464,0.433,0.387,0.315,0.303,0.0304,"U","chr7:97787587-97789470",183515,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5186","ASNS","chr7",97823896,97825861,1966,"*",11811489,11811500,"R","chr7:97823896-97825861","11CpGs","1965bp",0.0335,0.351,0.318,0.252,0.246,0.0403,"U","chr7:97823896-97825861",147124,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5187","ASNS","chr7",97949972,97951029,1058,"*",11812981,11813002,"R","chr7:97949972-97951029","21CpGs","1057bp",0.294,0.806,0.512,0.405,0.381,0.036,"U","chr7:97949972-97951029",21956,"ENSG00000070669",413.112020123821,1.1898577209599,0.338793163327321,4.13974592650442e-05,0.000273309454840858,431.591269965484,723.949547625523,297.434385086396,108.448422527693,279.629233525544,337.452664641011,337.409922329453,310.881360962534,816.10583685503,256.492718204041,189.463092153442,857.927444551009,475.409495593321,343.093966303548,764.036785032672,80.4661766244299,"protein_coding","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"5358","ATF1","chr12",50514463,50514938,476,"*",18245297,18245302,"R","chr12:50514463-50514938","5CpGs","475bp",0.972,0.469,0.503,0.46,0.444,0.00683,"M","chr12:50514463-50514938",-248772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5359","ATF1","chr12",50768624,50769271,648,"*",18248313,18248318,"R","chr12:50768624-50769271","5CpGs","647bp",0.686,0.127,0.559,0.485,0.421,0.0482,"M","chr12:50768624-50769271",4914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5362","ATF6","chr1",161805085,161805463,379,"*",1598326,1598330,"R","chr1:161805085-161805463","4CpGs","378bp",0.713,0.163,0.549,0.478,0.449,0.0164,"M","chr1:161805085-161805463",38787,"ENSG00000118217",6547.59293324084,-1.21710999902826,0.178663828384071,8.08461139529151e-13,2.04511515348614e-11,4014.33733811033,3124.82950193271,11194.4225534566,8464.07184949359,9540.66427360242,12900.708052124,5426.0693984204,8927.50636567556,3267.1929373642,7720.5261683945,8099.95906584694,2982.21351036036,4486.18024018915,4426.07476909126,3055.41600445123,7131.3149033401,"protein_coding","activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]"
"5388","ATG101","chr12",52052401,52052862,462,"*",18265288,18265295,"R","chr12:52052401-52052862","7CpGs","461bp",0.0528,0.588,0.535,0.467,0.449,0.014,"U","chr12:52052401-52052862",-16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5389","ATG101","chr12",52025184,52025209,26,"*",18264618,18264621,"R","chr12:52025184-52025209","3CpGs","25bp",0.982,0.169,0.812,0.646,0.633,0.041,"M","chr12:52025184-52025209",-44037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5390","ATG101","chr12",52031802,52031841,40,"*",18264744,18264748,"R","chr12:52031802-52031841","4CpGs","39bp",0.884,0.203,0.681,0.611,0.59,0.00923,"M","chr12:52031802-52031841",-37405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5391","ATG101","chr12",52067514,52067620,107,"*",18265556,18265559,"R","chr12:52067514-52067620","3CpGs","106bp",0.788,0.219,0.57,0.484,0.444,0.0246,"M","chr12:52067514-52067620",-1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5393","ATG3","chr3",112607017,112607379,363,"*",5514695,5514699,"R","chr3:112607017-112607379","4CpGs","362bp",0.195,0.781,0.587,0.537,0.515,0.00757,"U","chr3:112607017-112607379",-44971,"ENSG00000144848",2792.20547322727,-0.447676746013959,0.120011018193289,0.00011670638887719,0.000686791146929971,2238.73546452684,2436.85805303767,3401.80419664387,2957.22107872495,3605.8704561141,3591.5456745538,2572.24494744683,3434.07098727979,2835.136906088,2846.21101798908,2954.80048501912,2631.4954347095,2047.91782717123,2362.632858005,1622.39007271531,3136.3521116113,"protein_coding","autophagy related 3 [Source:HGNC Symbol;Acc:HGNC:20962]"
"5415","ATG5","chr6",106096043,106096438,396,"*",10238240,10238252,"R","chr6:106096043-106096438","12CpGs","395bp",0.771,0.0763,0.695,0.567,0.507,0.0358,"M","chr6:106096043-106096438",229353,"ENSG00000057663",1161.93958168161,-0.831983354557022,0.103181835206584,1.81978106797169e-16,7.16993740780847e-15,722.396082883404,829.251300007417,1503.42517051867,1337.04531666693,1649.25797223848,1675.33920077958,860.112104163568,1843.72414073734,856.726489368176,1233.83486005959,1335.30292339448,894.553066375308,812.489137953803,757.733593826792,896.372343014407,1383.46960491776,"protein_coding","autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]"
"5416","ATG5","chr6",106353223,106353249,27,"*",10240628,10240631,"R","chr6:106353223-106353249","3CpGs","26bp",0.19,0.868,0.678,0.604,0.55,0.0247,"U","chr6:106353223-106353249",-27432,"ENSG00000057663",1161.93958168161,-0.831983354557022,0.103181835206584,1.81978106797169e-16,7.16993740780847e-15,722.396082883404,829.251300007417,1503.42517051867,1337.04531666693,1649.25797223848,1675.33920077958,860.112104163568,1843.72414073734,856.726489368176,1233.83486005959,1335.30292339448,894.553066375308,812.489137953803,757.733593826792,896.372343014407,1383.46960491776,"protein_coding","autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]"
"5417","ATG5","chr6",106334465,106334522,58,"*",10240476,10240480,"R","chr6:106334465-106334522","4CpGs","57bp",0.253,0.874,0.621,0.59,0.574,0.00312,"U","chr6:106334465-106334522",-8674,"ENSG00000057663",1161.93958168161,-0.831983354557022,0.103181835206584,1.81978106797169e-16,7.16993740780847e-15,722.396082883404,829.251300007417,1503.42517051867,1337.04531666693,1649.25797223848,1675.33920077958,860.112104163568,1843.72414073734,856.726489368176,1233.83486005959,1335.30292339448,894.553066375308,812.489137953803,757.733593826792,896.372343014407,1383.46960491776,"protein_coding","autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]"
"5418","ATG7","chr3",11232662,11234650,1989,"*",4666615,4666633,"R","chr3:11232662-11234650","18CpGs","1988bp",0.0244,0.463,0.439,0.366,0.36,0.0271,"U","chr3:11232662-11234650",-37659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5419","ATG7","chr3",11300752,11301021,270,"*",4667496,4667500,"R","chr3:11300752-11301021","4CpGs","269bp",0.802,0.188,0.614,0.565,0.561,0.00679,"M","chr3:11300752-11301021",28443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5420","ATG7","chr3",11172787,11172859,73,"*",4665805,4665809,"R","chr3:11172787-11172859","4CpGs","72bp",0.0833,0.875,0.792,0.726,0.683,0.0119,"U","chr3:11172787-11172859",-99450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5421","ATG7","chr3",11181724,11182229,506,"*",4665929,4665944,"R","chr3:11181724-11182229","15CpGs","505bp",0.091,0.464,0.373,0.336,0.331,0.00933,"U","chr3:11181724-11182229",-90080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5422","ATG7","chr3",11669338,11669377,40,"*",4672297,4672300,"R","chr3:11669338-11669377","3CpGs","39bp",1,0.6,0.4,0.4,0.4,0,"M","chr3:11669338-11669377",397029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5423","ATG7","chr3",11194793,11194918,126,"*",4666091,4666095,"R","chr3:11194793-11194918","4CpGs","125bp",0.212,1,0.787,0.744,0.7,0.0121,"U","chr3:11194793-11194918",-77391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5441","ATM","chr11",108174652,108174819,168,"*",17476544,17476553,"R","chr11:108174652-108174819","9CpGs","167bp",0.579,0,0.579,0.519,0.458,0.0409,"M","chr11:108174652-108174819",-48225,"ENSG00000149311",5364.41596408451,0.690858733225578,0.111650755764456,2.2066231938877e-10,4.03476772425925e-09,6963.92901199209,5746.84313624188,4767.07678392569,3883.76364166289,4257.01841633506,4840.00129250129,6778.13649725138,3969.5776090534,6488.22604232709,3945.60173951049,3839.51075011823,5724.69567787077,7530.23201046812,7495.22103164077,6560.48045176858,3040.34133268443,"protein_coding","ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]"
"5589","ATP2A2","chr12",110166026,110166955,930,"*",18732513,18732517,"R","chr12:110166026-110166955","4CpGs","929bp",0.839,0.267,0.572,0.478,0.444,0.0241,"M","chr12:110166026-110166955",-113801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5590","ATP2A3","chr17",3976061,3976233,173,"*",22959757,22959760,"R","chr17:3976061-3976233","3CpGs","172bp",0.481,0.145,0.335,0.289,0.278,0.0159,"M","chr17:3976061-3976233",-11597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5620","ATP5F1B","chr12",56642782,56643874,1093,"*",18325785,18325801,"R","chr12:56642782-56643874","16CpGs","1092bp",0.894,0.0766,0.817,0.751,0.722,0.00694,"M","chr12:56642782-56643874",2110,"ENSG00000110955",35471.8072453859,-0.749090787003644,0.134184887657982,7.2727998730207e-09,1.0376005453761e-07,22078.8553596068,27696.9934202477,46136.4615030735,37743.6902484469,52837.2507234768,47859.8501791387,26839.866987027,59020.7365286328,31055.4120429484,37269.6315109344,37742.6954621148,30373.7391656241,22265.5413763915,25062.1199177089,23557.9227277873,40008.1487730149,"protein_coding","ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]"
"5621","ATP5F1C","chr10",7731673,7731886,214,"*",15145019,15145024,"R","chr10:7731673-7731886","5CpGs","213bp",0.0556,0.713,0.657,0.546,0.514,0.024,"U","chr10:7731673-7731886",-56261,"ENSG00000165629",5130.10791421745,-0.594941292472717,0.165275680291546,0.000141041380912041,0.000811002038742929,3379.64429404344,4933.38709909174,6323.32500097609,5117.45542813564,6954.29190119193,6484.33777497463,3840.97098632593,9680.45023991429,3862.654775341,4941.06046741019,5179.75618896019,4777.97884707903,3179.20162688577,3647.20268444956,4484.78625778986,5295.22305490993,"protein_coding","ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]"
"5622","ATP5F1D","chr19",1231357,1231400,44,"*",24918351,24918354,"R","chr19:1231357-1231400","3CpGs","43bp",0.862,0.103,0.76,0.714,0.683,0.00654,"M","chr19:1231357-1231400",-10346,"ENSG00000099624",5099.7637146342,-0.48459565634754,0.197435182123365,0.00787010379243482,0.0249707584421412,4458.2378065062,4398.98070575363,5319.68711687309,4218.57085215107,4810.73182776382,5282.3862344865,3556.15493678164,11119.8489111917,5538.25669150828,5618.04868274427,5290.13903395394,4389.52528227586,3915.37084581456,3724.43947781173,3246.97355246899,6708.86747606185,"protein_coding","ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]"
"5623","ATP5F1D","chr19",1233881,1234014,134,"*",24918423,24918429,"R","chr19:1233881-1234014","6CpGs","133bp",0.947,0.197,0.75,0.653,0.647,0.0176,"M","chr19:1233881-1234014",-7732,"ENSG00000099624",5099.7637146342,-0.48459565634754,0.197435182123365,0.00787010379243482,0.0249707584421412,4458.2378065062,4398.98070575363,5319.68711687309,4218.57085215107,4810.73182776382,5282.3862344865,3556.15493678164,11119.8489111917,5538.25669150828,5618.04868274427,5290.13903395394,4389.52528227586,3915.37084581456,3724.43947781173,3246.97355246899,6708.86747606185,"protein_coding","ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]"
"5624","ATP5F1D","chr19",1233203,1233282,80,"*",24918400,24918405,"R","chr19:1233203-1233282","5CpGs","79bp",0.879,0.159,0.721,0.647,0.622,0.00939,"M","chr19:1233203-1233282",-8464,"ENSG00000099624",5099.7637146342,-0.48459565634754,0.197435182123365,0.00787010379243482,0.0249707584421412,4458.2378065062,4398.98070575363,5319.68711687309,4218.57085215107,4810.73182776382,5282.3862344865,3556.15493678164,11119.8489111917,5538.25669150828,5618.04868274427,5290.13903395394,4389.52528227586,3915.37084581456,3724.43947781173,3246.97355246899,6708.86747606185,"protein_coding","ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]"
